Line needed to mimic the original format
Code circo euro	Libelle circo euro	Nom elu	Prenom elu	Date naissance	Code sexe	Code profession	Libelle profession	Libelle mandat	Date debut mandat	Date fin mandat	Motif fin mandat	Nuance politique	ID RNE	ID Europe	ID universel
00	UNIQUE	MORILLON	Philippe	24/10/1935	M	46	Grands corps de l'état	Représentant au Parlement Européen	13/6/1999	12/6/2004	FM	UDF	64	4332	RNE_0000064
00	UNIQUE	MOSCOVICI	Pierre	16/9/1957	M	46	Grands corps de l'état	Représentant au Parlement Européen	12/6/1994	5/6/1997	DV	SOC	45374	1983	RNE_0045374
03	EST	MOSCOVICI	Pierre	16/9/1957	M	46	Grands corps de l'état	Représentant au Parlement Européen	13/6/2004	25/6/2007	DV	SOC	45374	1983	RNE_0045374
04	SUD-OUEST	NAVARRO	Robert	1/5/1952	M	64	Retraités des entreprises publiques	Représentant au Parlement Européen	13/6/2004	7/10/2008	DV	DVG	46275	28164	RNE_0046275
00	UNIQUE	OMARJEE	Younous	30/9/1969	M	57	Sans profession déclarée	Représentant au Parlement Européen	26/5/2019	NA	NA	DVG	1190936	30482	RNE_1190936
00	UNIQUE	PATRIE	Béatrice	12/5/1957	F	45	Magistrats	Représentant au Parlement Européen	13/6/1999	12/6/2004	FM	SOC	69	4309	RNE_0000069
01	NORD-OUEST	PEILLON	Vincent	7/7/1960	M	42	Professeurs du secondaire et techn.	Représentant au Parlement Européen	13/6/2004	6/6/2009	AU	SOC	836476	28166	RNE_0836476
00	UNIQUE	POIGNANT	Bernard	19/9/1945	M	62	Retraités de l'enseignement	Représentant au Parlement Européen	13/6/1999	12/6/2004	FM	SOC	71	4311	RNE_0000071
02	OUEST	REYNAUD	Marie-Line	17/7/1954	F	57	Sans profession déclarée	Représentant au Parlement Européen	13/6/2004	25/6/2007	DV	SOC	824956	28168	RNE_0824956
00	UNIQUE	RIQUET	Dominique	18/9/1946	M	56	Autres professions	Représentant au Parlement Européen	26/5/2019	NA	NA	UDI	10326	96885	RNE_0010326
00	UNIQUE	RIVASI	Michèle	9/2/1953	F	56	Autres professions	Représentant au Parlement Européen	26/5/2019	NA	NA	VEC	870044	96743	RNE_0870044
00	UNIQUE	ROCARD	Michel	23/8/1930	M	46	Grands corps de l'état	Représentant au Parlement Européen	13/6/1999	12/6/2004	FM	SOC	73	1977	RNE_0000073
00	UNIQUE	ROURE	Martine	28/9/1948	F	54	Permanents politiques	Représentant au Parlement Européen	13/6/1999	12/6/2004	FM	SOC	183490	4313	RNE_0183490
00	UNIQUE	SANDER	Anne	1/10/1973	F	54	Permanents politiques	Représentant au Parlement Européen	26/5/2019	NA	NA	UMP	1501525	24594	RNE_1501525
00	UNIQUE	SARKOZY	Nicolas	28/1/1955	M	29	Avocats	Représentant au Parlement Européen	13/6/1999	14/9/1999	DV	UMP	NA	4339	EUR_0004339
00	UNIQUE	SCARBONCHI	Michel	24/7/1950	M	NA	NA	Représentant au Parlement Européen	5/2/1997	12/6/1999	FM	MRC	NA	2312	EUR_0002312
01	NORD-OUEST	SIMONOT	Chantal	22/9/1962	F	NA	NA	Représentant au Parlement Européen	13/6/2004	30/9/2004	FM	FN	NA	28212	EUR_0028212
00	UNIQUE	SUDRE	Margie	17/10/1943	F	24	Médecins	Représentant au Parlement Européen	13/6/1999	12/6/2004	FM	UMP	81	4340	RNE_0000081
06	MASSIF-CENTRAL CENTRE	WEBER	Henri	23/6/1944	M	56	Autres professions	Représentant au Parlement Européen	7/6/2009	24/5/2014	FM	SOC	328	2319	RNE_0000328
00	UNIQUE	WURTZ	Francis	3/1/1948	M	42	Professeurs du secondaire et techn.	Représentant au Parlement Européen	7/6/1979	12/6/2004	FM	COM	88	1018	RNE_0000088
02	OUEST	BACHELOT	Roselyne	24/12/46	F	28	Pharmaciens	Représentant au Parlement Européen	13/6/2004	17/5/2007	DV	UMP	NA	28179	EUR_0028179
00	UNIQUE	ABITBOL	William	06/09/1949	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	RPF	NA	4361	EUR_0004361
