Main Id	Other ids
48602	975869
48953	1493229
49067	1256224
49238	1229962
49317	1229964
49396	1229966
50215	1221995
50372	1424455
51823	1389347
52259	1494027
53015	872271
53345	1400412
53498	1169850
53538	1320403
53566	1383597
53859	1383469
54001	1437019
54191	1332265
54456	1134475
54500	1173499
54676	1383754
54717	1173498
55100	1400543
55118	1383799
55508	1400558
55873	1494570
56086	1494572
56372	1331887
56523	1180664
56537	1200433
56589	1504205
57127	1385387
57142	1318856
57637	1316105
57947	1316859
58435	1384645
58638	1477495
59049	1464269
59081	1391261
59195	985957
59533	1510717
59565	1464358
59733	1401081
59764	1401633
59832	1359507
60288	1359517
60327	1385233
60413	1391312
60438	1464293
60818	1392840
60863	1385337
60872	1392986
61649	1166646
61783	1383622
61927	1393860
62002	1464391
62955	1316479
63207	1250052
63292	1168391
63297	1464448
63573	1222401
63581	1176673
63777	1386109
64029	1436579
64156	913143
64470	1464524
64537	1168024
64845	1333220
65139	1400939
65587	1437808
65840	1389476
66157	153319
67195	1426845
67463	1321552
67504	1403804
67561	1401107
67641	999700
67651	1391902
67684	1250724
67726	1433921
67874	1250722
67909	1433919
67937	1399485
68421	1254620
68568	1250571
68574	1392019
68605	1392099
68631	1464769
68701	1254623
68831	1230223
68893	872203
68947	1200690
69100	1200704
69233	1506035
69318	1134770
69365	1464803
69563	1254614
69567	1317756
69576	1493094
70021	1519969
70229	1254019
70239	1330576
70732	1401317
71186	1386131
72482	1332338
72584	1402138
73372	1402804
73480	1385706
73523	1402805
73593	1494041
73987	1480797
74087	1403723
75282	1480813
76014	1436183
76049	1465177
76297	1201113
76574	1388041
76656	1387195
76693	1465200
77070	1387326
77229	1165453
77326	1434689
77329	1401605
77378	1436032
77633	1385950
77744	1385941
78226	1433977
78424	1516192
78735	1465286
79317	1465324
79650	1436079
79699	1436074
79843	1384680
80821	1394454
80915	1230466
81048	1465436
81285	1465414
81482	703642
81546	1250993
81848	1403515
82108	1399478
82181	872360
82191	1200754
82626	1402909
82910	1389860
83479	1385134
83553	156790
83744	1511284
84015	1315845
84505	1403108
84561	1403107
84902	1480999
84983	1388131
85235	1233608
85445	1230542
85634	1426097
86275	1400270
86317	1157539
86622	1403157
86629	1391290
86940	1157549
87153	1158069
87269	1494843
88979	1511872
89498	1394085
90141	1403659
90636	1386326
91348	1403432
91420	1198457
91502	1185778
92041	1134485
92092	1393830
92189	1270947
92211	1270949
92220	1270946
92257	155417
92841	1399143
92877	1399150
92928	1404956
92934	1404958
92969	1523783
93038	1485828
93333	1393586
93407	1393581
93455	1135321
93716	899113
93955	1135029
94643	1215050
95093	1475690
95472	1494946
95541	1404955
95897	1396113
96522	1477414
96958	1388497
97016	1465872
97563	1387854
97669	1305330
97710	1305331
97832	1495284
98099	1393613
100514	1180884
102206	1437283
106338	1260824
109118	1395749
109609	1262735
109702	1496939
110912	1332623
112143	1513677
112557	953443
116096	1261441
116698	1286018
116960	1286074
116977	953576
117077	1495113
117806	1261630
118054	930424
118071	1184600
118092	930136
118137	1261817
118356	1262639
118424	1263774
118637	1263694
118982	1263944
119824	1388642
119892	1404662
140768	1293427
140879	1167709
141076	1290617
142047	1519570
142213	1280187
142346	947864
142429	1278685
142646	1276822
142813	1275421
142884	943199
142946	1274536
142991	1274092
143259	939906
143295	1271966
143365	1271560
143374	1271450
143382	1271498
143385	1271506
143487	1270586
143574	1269876
143787	1267793
143821	1267367
144241	335242
144344	932032
144525	1261456
144900	1258745
145328	1256038
145515	1254741
145763	921909
145978	920926
146506	915038
146576	915358
146738	913359
148170	1168117
148208	901011
148236	1231580
148478	898346
148496	898134
148638	897926
148967	895407
151270	1180606
151322	963118
151596	1392813
151959	1389400
152011	1388829
152042	1388342
152609	1164613
152739	1381303
152845	1164549
153167	1168233
153489	1039314
153523	1039223
153604	1039573
153639	1038154
153692	1038031
153750	1371891
155160	379462
155290	403299
155610	1359983
156126	1356742
156655	271372
156750	485727
156775	830003
156795	1015419
156874	1509752
156976	1349556
157050	1014368
157332	1346135
157371	1012711
157418	1345347
157701	1343178
157746	1342917
157757	1009262
157827	1342010
157846	1341916
158041	1339954
158121	1005458
158165	389884,1382570
158792	1332072
159055	1329762
159377	1168358
159523	1325991
159557	1325634
159566	1325699
159606	991486
159643	1325119
159829	639732
159895	1323466
160026	984809
160099	988348
160175	987443
160183	987262
161070	979712
161080	978925
161213	978321
161572	1305608
161746	1303695
161817	971435
161892	1168423
161968	970415
162228	966730
162450	1297788
162588	1169709
162829	1294843
162867	1294545
163052	1497683
163061	1161423
163336	1490804
163475	1149923
163991	1145585
164240	1142145
164285	1141954
164391	1140606
164906	1475300
165274	870109
165909	1466831
165916	1466799
166377	1461931
166419	1461610
166434	1461507
166499	1460653
166604	1459088
166841	408088
166920	1455663
167084	1453921
167593	1111008
167778	1167346
167783	1506065
168076	1106765
168149	1444275
168276	1442984
168309	1442772
168365	1442284
168616	1505408
168955	1436859
168993	1436538
169576	1093665
170036	1168294
170136	1180887
170202	1426307
170239	1425899
170410	1424611
171019	1080811
