Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Date de fin de mandat	Annee de fin de mandat	Identifiant fonction	Date de debut de fonction	Annee de debut de fonction	Date de fin de fonction	Annee de fin de fonction	Fonction
000455	M.	Galley	Robert	ANCIEN	46103		02/07/1981		01/04/1986		44699	02/07/1981		01/04/1986		Député
000455	M.	Galley	Robert	ANCIEN	46104		02/04/1986		14/05/1988		44700	02/04/1986		14/05/1988		Député
000455	M.	Galley	Robert	ANCIEN	46105		13/06/1988		01/04/1993		44701	13/06/1988		01/04/1993		Député
000455	M.	Galley	Robert	ANCIEN	46106		02/04/1993		21/04/1997		44702	02/04/1993		21/04/1997		Député
000455	M.	Galley	Robert	ANCIEN	46107		01/06/1997		18/06/2002		44703	01/06/1997		18/06/2002		Député
56601X	M.	Garaudy	Roger	ANCIEN	10403					1958	3538					Député
000131	M.	Garet	Pierre	ANCIEN	10404			1945		1958	3539					Député
98041S	M.	Garrec	René	ANCIEN	46140		13/06/1988		01/04/1993		44736	13/06/1988		01/04/1993		Député
98041S	M.	Garrec	René	ANCIEN	46141		02/04/1993		21/04/1997		44737	02/04/1993		21/04/1997		Député
89029V	M.	Gaudin	Jean-Claude	ANCIEN	46180		02/07/1981		01/04/1986		44776	02/07/1981		01/04/1986		Député
89029V	M.	Gaudin	Jean-Claude	ANCIEN	46181		03/04/1978		22/05/1981		44777	03/04/1978		22/05/1981		Député
89029V	M.	Gaudin	Jean-Claude	ANCIEN	46182		02/04/1986		14/05/1988		44778	02/04/1986		14/05/1988		Député
89029V	M.	Gaudin	Jean-Claude	ANCIEN	46183		13/06/1988		02/10/1989		44779	13/06/1988		02/10/1989		Député
11061K	Mme	Génisson	Catherine	ANCIEN	45545		01/06/1997		18/06/2002		44141	01/06/1997		18/06/2002		Député
11061K	Mme	Génisson	Catherine	ANCIEN	45546		19/06/2002		19/06/2007		44142	19/06/2002		19/06/2007		Député
11061K	Mme	Génisson	Catherine	ANCIEN	45547		20/06/2007		30/09/2011		49523	20/06/2007		27/06/2007		Député
11061K	Mme	Génisson	Catherine	ANCIEN	45547		20/06/2007		30/09/2011		49524	27/06/2007		01/10/2008		Vice-président de l'Assemblée nationale
11061K	Mme	Génisson	Catherine	ANCIEN	45547		20/06/2007		30/09/2011		49525	02/10/2008		30/09/2011		Député
71017B	M.	Genton	Jacques	ANCIEN	1673			1951		1956	1673					Député
000114	M.	Geoffroy	Jean	ANCIEN	10407			1945		1946	3542					Député
62001R	M.	Giacobbi	François	ANCIEN	9679			1956		1958	3183					Député
