Matricule	Id appartenance	Id fonction occupée	Nom	Prénom	Code du groupe politique	Nom court du groupe politique	Date de début d'appartenance	Date de fin d'appartenance	Nom court fonction	Date de début de la fonction	Date de fin de la fonction
19731Y	2855	3249	Kauffmann	Claudine	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2017	02/10/2017	Membre	01/10/2017	02/10/2017
19731Y	2985	3391	Kauffmann	Claudine	NI	Réunion administrative des non-inscrits	03/10/2017		Membre	03/10/2017	
000516	1150	1410	Kauss	Paul	RPR	Groupe du RPR		03/11/1991	Membre		03/11/1991
04061F	1761	2025	Keller	Fabienne	UMP	Groupe Les Républicains	05/10/2004	26/11/2004	Membre	05/10/2004	26/11/2004
04061F	1807	2085	Keller	Fabienne	NI	Réunion administrative des non-inscrits	21/02/2005	21/02/2005	Membre	21/02/2005	21/02/2005
04061F	1817	2095	Keller	Fabienne	UMP	Groupe Les Républicains	22/02/2005	03/04/2019	Membre	22/02/2005	30/10/2011
04061F	1817	2654	Keller	Fabienne	UMP	Groupe Les Républicains	22/02/2005	03/04/2019	Vice-Président	01/11/2011	06/10/2014
04061F	1817	2854	Keller	Fabienne	UMP	Groupe Les Républicains	22/02/2005	03/04/2019	Membre	07/10/2014	03/04/2019
04061F	3035	3449	Keller	Fabienne	NI	Réunion administrative des non-inscrits	04/04/2019	24/06/2019	Membre	04/04/2019	24/06/2019
14061L	2481	2799	Kennel	Guy-Dominique	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2014	06/10/2014	Membre	01/10/2014	06/10/2014
14061L	2556	2888	Kennel	Guy-Dominique	UMP	Groupe Les Républicains	07/10/2014		Membre	07/10/2014	
10003H	2364	2684	Kerdraon	Ronan	AUCUN	Sénateurs n'appartenant à aucun groupe	16/03/2010	21/03/2010	Membre	16/03/2010	21/03/2010
10003H	2100	2372	Kerdraon	Ronan	SOC	Groupe socialiste et républicain	22/03/2010	30/09/2014	Membre	22/03/2010	30/09/2014
01021J	528	527	Kergueris	Joseph	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2001	01/10/2001	Membre	01/10/2001	01/10/2001
01021J	604	601	Kergueris	Joseph	UC	Groupe Union Centriste	02/10/2001	30/09/2011	Membre	02/10/2001	30/09/2011
14073Q	2479	2797	Kern	Claude	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2014	06/10/2014	Membre	01/10/2014	06/10/2014
14073Q	2581	2923	Kern	Claude	UC	Groupe Union Centriste	07/10/2014		Membre	07/10/2014	
19489J	2819	3213	Kerrouche	Éric	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19489J	2915	3313	Kerrouche	Éric	SOC	Groupe socialiste et républicain	03/10/2017		Membre	03/10/2017	
56405V	1572	1832	Kheirat	M'hamed	GD	Gauche Démocratique		04/07/1962	Membre		04/07/1962
04077P	1783	2047	Khiari	Bariza	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2004	04/10/2004	Membre	01/10/2004	04/10/2004
04077P	1712	1974	Khiari	Bariza	SOC	Groupe socialiste et républicain	05/10/2004	27/06/2017	Membre	05/10/2004	27/06/2017
04077P	2704	3086	Khiari	Bariza	LREM	Groupe La République En Marche	28/06/2017	01/10/2017	Membre	28/06/2017	01/10/2017
000149	1151	1411	Kieffer	Alfred	UCDP	Union Centriste des Démocrates de Progrès		02/10/1977	Membre		02/10/1977
000213	1152	1412	Kientzi	Armand	UCDP	Union Centriste des Démocrates de Progrès		02/10/1977	Membre		02/10/1977
000727	1512	1772	Kistler	Michel	UCDP	Union Centriste des Démocrates de Progrès		05/05/1976	Membre		05/05/1976
08032S	2017	2288	Klès	Virginie	SOC	Groupe socialiste et républicain	01/10/2008	04/06/2013	Membre	01/10/2008	04/05/2013
08032S	2395	2716	Klès	Virginie	SOC	Groupe socialiste et républicain	05/06/2013	30/09/2014	Membre	05/06/2013	30/09/2014
03001N	855	847	Krattinger	Yves	AUCUN	Sénateurs n'appartenant à aucun groupe	09/02/2003	12/02/2003	Membre	09/02/2003	12/02/2003
03001N	856	848	Krattinger	Yves	SOC	Groupe socialiste et républicain	12/02/2003	30/09/2014	Membre	12/02/2003	30/09/2014
10001F	2113	2386	Labarre	Marie-Agnès	NI	Réunion administrative des non-inscrits	08/01/2010	18/01/2010	Membre	08/01/2010	18/01/2010
10001F	2093	2366	Labarre	Marie-Agnès	CRC	Groupe CRCE	19/01/2010	30/09/2011	Membre	19/01/2010	30/09/2011
01032M	539	538	Labarrère	André	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2001	01/10/2001	Membre	01/10/2001	01/10/2001
01032M	605	602	Labarrère	André	SOC	Groupe socialiste et républicain	02/10/2001	16/05/2006	Membre	02/10/2001	16/05/2006
11112D	2201	2475	Labazée	Georges	SOC	Groupe socialiste et républicain	01/10/2011	01/10/2017	Membre	01/10/2011	01/10/2017
11099A	2175	2449	Labbé	Joël	SOC	Groupe socialiste et républicain	01/10/2011	10/01/2012	Membre	01/10/2011	10/01/2012
11099A	2351	2672	Labbé	Joël	ECO	Groupe écologiste	11/01/2012	29/06/2017	Membre	11/01/2012	29/06/2017
11099A	2726	3109	Labbé	Joël	NI	Réunion administrative des non-inscrits	30/06/2017	02/10/2017	Membre	30/06/2017	02/10/2017
11099A	2894	3290	Labbé	Joël	RDSE	Groupe du RDSE	03/10/2017		Membre	03/10/2017	
000458	1157	1417	Labeguerie	Michel	UCDP	Union Centriste des Démocrates de Progrès		28/07/1980	Membre		28/07/1980
83039W	116	116	Labeyrie	Philippe	SOC	Groupe socialiste et républicain		30/09/2011	Membre		30/09/2011
000237	1158	1418	Labonde	Pierre	RI	Groupe des RI		22/11/1981	Membre		22/11/1981
08031R	2054	2325	Laborde	Françoise	RDSE	Groupe du RDSE	01/10/2008		Membre	01/10/2008	
000231	1159	1419	Lacaze	Jean	GD	Gauche Démocratique		29/07/1975	Membre		29/07/1975
95042F	782	778	Lachenaud	Jean-Philippe	UMP	Groupe Les Républicains	11/12/2002	30/09/2004	Membre	11/12/2002	30/09/2004
95042F	272	272	Lachenaud	Jean-Philippe	RI	Groupe des RI		10/12/2002	Membre		10/12/2002
000153	1160	1420	Lachevre	Roger	RI	Groupe des RI		01/10/1968	Membre		01/10/1968
57449N	1161	1421	de Lachomette	Jean	CRARS	Centre Républicain d'Action Rurale et Sociale		01/10/1974	Membre		01/10/1974
000686	1513	1773	Lacoste	Robert	SOC	Groupe socialiste et républicain		01/10/1980	Membre		01/10/1980
80022Y	1573	1833	Lacour	Pierre	RDSE	Groupe du RDSE		13/07/1996	Membre		13/07/1996
000086	1162	1422	Lafay	Bernard	GD	Gauche Démocratique		18/04/1967	Membre		18/04/1967
85003S	13	2152	Laffitte	Pierre	RDSE	Groupe du RDSE		30/09/2008	Président	19/09/2007	30/09/2008
85003S	13	13	Laffitte	Pierre	RDSE	Groupe du RDSE		30/09/2008	Membre		18/09/2007
000063	1163	1423	Lafleur	Henri	UREI	Union des Républicains et des Indépendants		13/10/1974	Membre		13/10/1974
95068R	32	32	Lafond	Jean-Pierre	NI	Réunion administrative des non-inscrits		30/09/1998	Membre		30/09/1998
19611R	2791	3185	Lafon	Laurent	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19611R	2973	3379	Lafon	Laurent	UC	Groupe Union Centriste	03/10/2017		Membre	03/10/2017	
58945E	1154	1414	De La Forest	Louis	UREI	Union des Républicains et des Indépendants		01/10/1989	Membre		01/10/1989
57728S	1164	1424	Lagatu	Catherine	C	Communistes		02/10/1977	Membre		02/10/1977
97004H	266	266	Lagauche	Serge	SOC	Groupe socialiste et républicain		30/09/2011	Membre		30/09/2011
000068	1155	1415	de La Gontrie	Pierre	GD	Gauche Démocratique		01/10/1968	Membre		01/10/1968
98054X	415	432	Lagorsse	Roger	NI	Réunion administrative des non-inscrits	03/11/1998	09/11/1998	Membre	03/11/1998	09/11/1998
98054X	416	433	Lagorsse	Roger	SOC	Groupe socialiste et républicain	09/11/1998	30/09/2004	Membre	09/11/1998	30/09/2004
92028U	1165	1425	Lagourgue	Pierre	UC	Groupe Union Centriste		16/02/1998	Membre		16/02/1998
19583F	2750	3144	Lagourgue	Jean-Louis	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19583F	2873	3268	Lagourgue	Jean-Louis	RTLI	Groupe Les Indépendants - République et Territoires	03/10/2017		Membre	03/10/2017	
56812H	1166	1426	Lagrange	Roger	SOC	Groupe socialiste et républicain		03/04/1967	Membre		03/04/1967
14012N	2423	2740	Lajoux	Isabelle	SOC	Groupe socialiste et républicain	05/05/2014	30/09/2014	Membre	05/05/2014	30/09/2014
000670	1620	1880	Lakhdari	Mohamed	GD	Gauche Démocratique		04/07/1962	Membre		04/07/1962
14159V	2462	2780	Lalande	Bernard	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2014	06/10/2014	Membre	01/10/2014	06/10/2014
14159V	2588	2930	Lalande	Bernard	SOC	Groupe socialiste et républicain	07/10/2014		Membre	07/10/2014	
000758	1588	1848	Lalloy	Maurice	RPR	Groupe du RPR		02/10/1977	Membre		02/10/1977
77046H	692	688	de La Malène	Christian	UMP	Groupe Les Républicains	11/12/2002	30/09/2004	Membre	11/12/2002	30/09/2004
77046H	192	192	de La Malène	Christian	RPR	Groupe du RPR		10/12/2002	Membre		10/12/2002
92029V	1651	1916	Lambert	Alain	AUCUN	Sénateurs n'appartenant à aucun groupe	26/09/2004	26/09/2004	Membre	26/09/2004	26/09/2004
92029V	1733	1995	Lambert	Alain	UMP	Groupe Les Républicains	27/09/2004	18/10/2010	Membre	27/09/2004	18/10/2010
92029V	182	182	Lambert	Alain	UC	Groupe Union Centriste		07/06/2002	Membre		07/06/2002
000706	1514	1774	Lambert	Marcel	RI	Groupe des RI		01/10/1974	Membre		01/10/1974
07029T	1868	2146	Laménie	Marc	NI	Réunion administrative des non-inscrits	27/08/2007	03/09/2007	Membre	27/08/2007	03/09/2007
07029T	1870	2148	Laménie	Marc	UMP	Groupe Les Républicains	04/09/2007		Membre	04/09/2007	
000230	1167	1427	Lamousse	Georges	SOC	Groupe socialiste et républicain		02/10/1977	Membre		02/10/1977
04049K	1680	1943	Lamure	Élisabeth	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2004	04/10/2004	Membre	01/10/2004	04/10/2004
04049K	1762	2026	Lamure	Élisabeth	UMP	Groupe Les Républicains	05/10/2004		Membre	05/10/2004	
000303	1168	1428	Lanet	Joseph	GD	Gauche Démocratique		01/10/1968	Membre		01/10/1968
14029X	2744	3137	Lanfranchi Dorgal	Christine	AUCUN	Sénateurs n'appartenant à aucun groupe	23/09/2017	26/09/2017	Membre	23/09/2017	26/09/2017
14029X	2847	3241	Lanfranchi Dorgal	Christine	NI	Réunion administrative des non-inscrits	27/09/2017	02/10/2017	Membre	27/09/2017	02/10/2017
14029X	2947	3349	Lanfranchi Dorgal	Christine	UMP	Groupe Les Républicains	03/10/2017		Membre	03/10/2017	
88013H	708	704	Lanier	Lucien	UMP	Groupe Les Républicains	11/12/2002	30/09/2004	Membre	11/12/2002	30/09/2004
88013H	264	264	Lanier	Lucien	RPR	Groupe du RPR		10/12/2002	Membre		10/12/2002
000219	1169	1429	Laplace	Adrien	GD	Gauche Démocratique		02/10/1977	Membre		02/10/1977
77033C	780	776	Larché	Jacques	UMP	Groupe Les Républicains	11/12/2002	30/09/2004	Membre	11/12/2002	30/09/2004
77033C	245	245	Larché	Jacques	RI	Groupe des RI		10/12/2002	Membre		10/12/2002
86034E	715	711	Larcher	Gérard	UMP	Groupe Les Républicains	11/12/2002	30/04/2004	Membre	11/12/2002	30/04/2004
86034E	1875	2154	Larcher	Gérard	UMP	Groupe Les Républicains	01/10/2007		Membre	01/10/2007	
86034E	290	290	Larcher	Gérard	RPR	Groupe du RPR		10/12/2002	Membre		10/12/2002
04094Q	1784	2048	Larcher	Serge	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2004	04/10/2004	Membre	01/10/2004	04/10/2004
04094Q	1730	1992	Larcher	Serge	SOC	Groupe socialiste et républicain	05/10/2004	01/10/2017	Membre	05/10/2004	09/06/2015
04094Q	1730	3003	Larcher	Serge	SOC	Groupe socialiste et républicain	05/10/2004	01/10/2017	Membre	10/06/2015	01/10/2017
01018P	525	524	Lardeux	André	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2001	01/10/2001	Membre	01/10/2001	01/10/2001
01018P	606	603	Lardeux	André	RPR	Groupe du RPR	02/10/2001	10/12/2002	Membre	02/10/2001	10/12/2002
01018P	748	744	Lardeux	André	UMP	Groupe Les Républicains	11/12/2002	30/09/2011	Membre	11/12/2002	30/09/2011
95043G	662	658	Larifla	Dominique	RDSE	Groupe du RDSE	10/09/2002	30/09/2004	Membre	10/09/2002	30/09/2004
95043G	295	295	Larifla	Dominique	SOC	Groupe socialiste et républicain		09/09/2002	Membre		09/09/2002
000204	1605	1865	Lartigue	Emmanuel	UNR	Union pour la Nouvelle République		01/10/1968	Membre		01/10/1968
000107	1170	1430	Larue	Tony	SOC	Groupe socialiste et républicain		05/07/1995	Membre		05/07/1995
19723Y	2851	3245	Lassarade	Florence	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2017	02/10/2017	Membre	01/10/2017	02/10/2017
19723Y	2948	3350	Lassarade	Florence	UMP	Groupe Les Républicains	03/10/2017		Membre	03/10/2017	
11111C	2206	2480	Lasserre	Jean-Jacques	UC	Groupe Union Centriste	01/10/2011	01/10/2017	Membre	01/10/2011	01/10/2017
98043U	362	366	Lassourd	Patrick	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/1998	04/10/1998	Membre	01/10/1998	04/10/1998
98043U	4	4	Lassourd	Patrick	RPR	Groupe du RPR	05/10/1998	10/12/2002	Membre	05/10/1998	10/12/2002
98043U	666	662	Lassourd	Patrick	UMP	Groupe Les Républicains	11/12/2002	28/08/2003	Membre	11/12/2002	28/08/2003
59541R	1171	1431	Laucournet	Robert	SOC	Groupe socialiste et républicain		01/10/1995	Membre		01/10/1995
98005N	319	319	Laufoaulu	Robert	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/1998	04/10/1998	Membre	01/10/1998	04/10/1998
98005N	388	395	Laufoaulu	Robert	RPR	Groupe du RPR	05/10/1998	10/12/2002	Membre	05/10/1998	10/12/2002
98005N	735	731	Laufoaulu	Robert	UMP	Groupe Les Républicains	11/12/2002	30/11/2018	Membre	11/12/2002	30/11/2018
98005N	3027	3434	Laufoaulu	Robert	RTLI	Groupe Les Indépendants - République et Territoires	01/12/2018		Membre	01/12/2018	
19699S	2811	3205	Laugier	Michel	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19699S	2974	3380	Laugier	Michel	UC	Groupe Union Centriste	03/10/2017		Membre	03/10/2017	
57129Y	1172	1432	Laurens	Robert	RI	Groupe des RI		01/10/1971	Membre		01/10/1971
000456	1173	1433	Laurent	Bernard	UC	Groupe Union Centriste		15/07/1994	Membre		15/07/1994
08015R	2030	2301	Laurent	Daniel	UMP	Groupe Les Républicains	01/10/2008		Membre	01/10/2008	
12041X	2384	2705	Laurent	Pierre	CRC	Groupe CRCE	20/09/2012		Membre	20/09/2012	
08063A	2027	2298	Laurent-Perrigot	Françoise	SOC	Groupe socialiste et républicain	01/10/2008	30/09/2014	Membre	01/10/2008	30/09/2014
000042	1174	1434	Laurent-Thouverey	Charles	GD	Gauche Démocratique		01/10/1974	Membre		01/10/1974
95002W	300	300	Lauret	Edmond	RPR	Groupe du RPR		30/09/2001	Membre		30/09/2001
14277B	2641	2994	Laurey	Nuihau	NI	Réunion administrative des non-inscrits	04/05/2015	11/05/2015	Membre	04/05/2015	11/05/2015
14277B	2643	2996	Laurey	Nuihau	UC	Groupe Union Centriste	12/05/2015		Membre	12/05/2015	
86035F	710	706	Laurin	René-Georges	UMP	Groupe Les Républicains	11/12/2002	30/09/2004	Membre	11/12/2002	30/09/2004
86035F	274	274	Laurin	René-Georges	RPR	Groupe du RPR		10/12/2002	Membre		10/12/2002
59542S	1175	1435	Lauriol	Marc	RPR	Groupe du RPR		01/10/1995	Membre		01/10/1995
19711U	2833	3227	Lavarde	Christine	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19711U	2949	3351	Lavarde	Christine	UMP	Groupe Les Républicains	03/10/2017		Membre	03/10/2017	
000072	1445	1705	de La Vasselais	Guy	NI	Réunion administrative des non-inscrits		01/10/1971	Membre		01/10/1971
58913V	1156	1416	De La Verpilliere	Guy	UREI	Union des Républicains et des Indépendants		01/10/1989	Membre		01/10/1989
000133	1446	1706	Lavy	Arthur	RI	Groupe des RI		02/10/1977	Membre		02/10/1977
58948H	1176	1436	Lazuech	Louis	UREI	Union des Républicains et des Indépendants		01/10/1989	Membre		01/10/1989
000679	1515	1775	Le Basser	Francis	UNR	Union pour la Nouvelle République		01/10/1965	Membre		01/10/1965
000093	1177	1437	Le Bellegou	Edouard	SOC	Groupe socialiste et républicain		05/12/1972	Membre		05/12/1972
58626R	1178	1438	Le Bellegou-Beguin	Geneviève	SOC	Groupe socialiste et républicain		01/10/1986	Membre		01/10/1986
81011A	159	159	Le Breton	Henri	UC	Groupe Union Centriste		30/09/2001	Membre		30/09/2001
000014	1181	1441	Lebreton	Marcel	RI	Groupe des RI		01/10/1968	Membre		01/10/1968
98038X	357	360	Le Cam	Gérard	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/1998	04/10/1998	Membre	01/10/1998	04/10/1998
98038X	411	421	Le Cam	Gérard	CRC	Groupe CRCE	05/10/1998	30/09/2014	Membre	05/10/1998	30/09/2014
000442	1182	1442	Lecanuet	Jean	UC	Groupe Union Centriste		22/02/1993	Membre		22/02/1993
58941A	1183	1443	Leccia	Bastien	SOC	Groupe socialiste et républicain		01/10/1989	Membre		01/10/1989
01042P	549	548	Lecerf	Jean-René	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2001	01/10/2001	Membre	01/10/2001	01/10/2001
01042P	607	604	Lecerf	Jean-René	RPR	Groupe du RPR	02/10/2001	10/12/2002	Membre	02/10/2001	10/12/2002
01042P	749	745	Lecerf	Jean-René	UMP	Groupe Les Républicains	11/12/2002	21/04/2015	Membre	11/12/2002	21/04/2015
000248	1184	1444	Lechenault	France	GD	Gauche Démocratique		01/10/1986	Membre		01/10/1986
92030N	680	676	Leclerc	Dominique	UMP	Groupe Les Républicains	11/12/2002	30/09/2011	Membre	11/12/2002	30/09/2011
92030N	108	108	Leclerc	Dominique	RPR	Groupe du RPR		10/12/2002	Membre		10/12/2002
11026G	2229	2503	Leconte	Jean-Yves	SOC	Groupe socialiste et républicain	01/10/2011		Membre	01/10/2011	
58924Y	1574	1834	Le Cozannet	Yves	UC	Groupe Union Centriste		01/10/1989	Membre		01/10/1989
59543T	1185	1445	Lederman	Charles	C	Communistes		01/10/1995	Membre		01/10/1995
97006K	167	167	Lefebvre	Pierre	CRC	Groupe CRCE		30/09/2001	Membre		30/09/2001
19677L	2773	3167	Lefebvre	Nadège	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19677L	2950	3352	Lefebvre	Nadège	UMP	Groupe Les Républicains	03/10/2017	24/11/2017	Membre	03/10/2017	24/11/2017
08010L	2031	2302	Lefèvre	Antoine	UMP	Groupe Les Républicains	01/10/2008		Membre	01/10/2008	
000280	1186	1446	Lefort	Fernand	C	Communistes		01/10/1986	Membre		01/10/1986
000325	1447	1707	Legaret	Jean	RI	Groupe des RI		16/02/1976	Membre		16/02/1976
92031P	686	682	Legendre	Jacques	UMP	Groupe Les Républicains	11/12/2002	01/10/2017	Membre	11/12/2002	01/10/2017
92031P	170	170	Legendre	Jacques	RPR	Groupe du RPR		10/12/2002	Membre		10/12/2002
08034U	2018	2289	de Legge	Dominique	UMP	Groupe Les Républicains	01/10/2008		Membre	01/10/2008	
19709B	2825	3219	Le Gleut	Ronan	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19709B	2951	3353	Le Gleut	Ronan	UMP	Groupe Les Républicains	03/10/2017		Membre	03/10/2017	04/06/2018
19709B	2951	3412	Le Gleut	Ronan	UMP	Groupe Les Républicains	03/10/2017		Membre	05/06/2018	
000201	1187	1447	Legouez	Modeste	UREI	Union des Républicains et des Indépendants		30/01/1989	Membre		30/01/1989
82002D	683	679	Le Grand	Jean-François	UMP	Groupe Les Républicains	11/12/2002	31/05/2011	Membre	11/12/2002	31/05/2011
82002D	2123	2401	Le Grand	Jean-François	NI	Réunion administrative des non-inscrits	01/06/2011	30/09/2011	Membre	01/06/2011	30/09/2011
82002D	142	142	Le Grand	Jean-François	RPR	Groupe du RPR		10/12/2002	Membre		10/12/2002
000531	1188	1448	Legrand	Bernard	RDE	Rassemblement Démocratique et Européen		01/10/1992	Membre		01/10/1992
000693	1516	1776	Legros	Marcel	RI	Groupe des RI		28/10/1971	Membre		28/10/1971
96001A	81	81	Lèguevaques	Guy	SOC	Groupe socialiste et républicain		30/09/1998	Membre		30/09/1998
80024B	348	351	Lejeune	André	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/1998	04/10/1998	Membre	01/10/1998	04/10/1998
80024B	396	404	Lejeune	André	SOC	Groupe socialiste et républicain	05/10/1998	09/09/2009	Membre	05/10/1998	09/09/2009
000206	1189	1449	Lejeune	Max	RDE	Rassemblement Démocratique et Européen		24/09/1995	Membre		24/09/1995
71024A	75	75	Le Jeune	Edouard	UC	Groupe Union Centriste		30/09/1998	Membre		30/09/1998
08039A	2058	2329	Leleux	Jean-Pierre	UMP	Groupe Les Républicains	01/10/2008		Membre	01/10/2008	30/10/2011
08039A	2058	2655	Leleux	Jean-Pierre	UMP	Groupe Les Républicains	01/10/2008		Vice-Président	01/11/2011	06/10/2014
08039A	2058	2852	Leleux	Jean-Pierre	UMP	Groupe Les Républicains	01/10/2008		Membre	07/10/2014	
92032Q	128	128	Lemaire	Guy	RPR	Groupe du RPR		30/09/2001	Membre		30/09/2001
000144	1575	1835	Lemaire	Marcel	UCDP	Union Centriste des Démocrates de Progrès		02/10/1983	Membre		02/10/1983
000320	1190	1450	Lemarié	Bernard	UC	Groupe Union Centriste		01/10/1989	Membre		01/10/1989
08037X	2019	2290	Le Menn	Jacky	SOC	Groupe socialiste et républicain	01/10/2008	30/09/2014	Membre	01/10/2008	30/09/2014
000170	1179	1439	Le Montagner	Louis	UCDP	Union Centriste des Démocrates de Progrès		30/01/1983	Membre		30/01/1983
14037X	2507	2825	Lemoyne	Jean-Baptiste	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2014	06/10/2014	Membre	01/10/2014	06/10/2014
14037X	2554	2886	Lemoyne	Jean-Baptiste	UMP	Groupe Les Républicains	07/10/2014	27/06/2017	Membre	07/10/2014	27/06/2017
14037X	2705	3087	Lemoyne	Jean-Baptiste	LREM	Groupe La République En Marche	28/06/2017	22/07/2017	Membre	28/06/2017	22/07/2017
16685X	2761	3155	Le Nay	Jacques	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
16685X	2975	3381	Le Nay	Jacques	UC	Groupe Union Centriste	03/10/2017		Membre	03/10/2017	
59545V	1191	1451	Lenglet	Charles-Edmond	RDE	Rassemblement Démocratique et Européen		24/09/1995	Membre		24/09/1995
11100Y	2224	2498	Lenoir	Jean-Claude	UMP	Groupe Les Républicains	01/10/2011	01/10/2017	Membre	01/10/2011	01/10/2017
11003M	2122	2399	Léonard	Claude	UMP	Groupe Les Républicains	28/03/2011	30/09/2011	Membre	28/03/2011	30/09/2011
11003M	2336	2626	Léonard	Claude	UMP	Groupe Les Républicains	02/11/2011	16/06/2012	Membre	02/11/2011	16/06/2012
19289C	2793	3187	Léonhardt	Olivier	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19289C	2895	3291	Léonhardt	Olivier	RDSE	Groupe du RDSE	03/10/2017		Membre	03/10/2017	
08017T	2048	2319	Lepage	Claudine	SOC	Groupe socialiste et républicain	01/10/2008		Membre	01/10/2008	
98025S	342	343	Lepeltier	Serge	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/1998	04/10/1998	Membre	01/10/1998	04/10/1998
98025S	381	388	Lepeltier	Serge	RPR	Groupe du RPR	05/10/1998	10/12/2002	Membre	05/10/1998	09/05/2002
98025S	381	1894	Lepeltier	Serge	RPR	Groupe du RPR	05/10/1998	10/12/2002	Président délégué	10/05/2002	10/12/2002
98025S	730	726	Lepeltier	Serge	UMP	Groupe Les Républicains	11/12/2002	30/04/2004	Membre	11/12/2002	30/04/2004
98051U	370	377	Le Pensec	Louis	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/1998	04/10/1998	Membre	01/10/1998	04/10/1998
98051U	395	403	Le Pensec	Louis	SOC	Groupe socialiste et républicain	05/10/1998	30/09/2008	Membre	05/10/1998	30/09/2008
58652T	1180	1440	Le Pors	Anicet	C	Communistes		23/07/1981	Membre		23/07/1981
19483C	2829	3223	Leroux	Sébastien	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19483C	2952	3354	Leroux	Sébastien	UMP	Groupe Les Républicains	03/10/2017	13/04/2018	Membre	03/10/2017	13/04/2018
11059R	2251	2525	Leroy	Jean-Claude	SOC	Groupe socialiste et républicain	01/10/2011	01/10/2017	Membre	01/10/2011	01/10/2017
01061S	570	569	Leroy	Philippe	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2001	01/10/2001	Membre	01/10/2001	01/10/2001
01061S	608	605	Leroy	Philippe	RPR	Groupe du RPR	02/10/2001	10/12/2002	Membre	02/10/2001	10/12/2002
01061S	750	746	Leroy	Philippe	UMP	Groupe Les Républicains	11/12/2002	01/10/2017	Membre	11/12/2002	01/10/2017
19729F	2854	3248	Leroy	Henri	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2017	02/10/2017	Membre	01/10/2017	02/10/2017
19729F	2953	3355	Leroy	Henri	UMP	Groupe Les Républicains	03/10/2017		Membre	03/10/2017	
000707	1517	1777	Le Sassier Boisauné	Etienne	RI	Groupe des RI		01/10/1965	Membre		01/10/1965
89006N	811	807	Lesbros	Marcel	UMP	Groupe Les Républicains	11/12/2002	25/01/2007	Membre	11/12/2002	25/01/2007
89006N	9	9	Lesbros	Marcel	UC	Groupe Union Centriste		10/12/2002	Membre		10/12/2002
11098Y	2174	2448	Le Scouarnec	Michel	CRC	Groupe CRCE	01/10/2011	01/10/2017	Membre	01/10/2011	01/10/2017
88005H	3	3	Lesein	François	RDSE	Groupe du RDSE		30/09/1998	Membre		30/09/1998
01043Q	550	549	Létard	Valérie	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2001	01/10/2001	Membre	01/10/2001	01/10/2001
01043Q	609	606	Létard	Valérie	UC	Groupe Union Centriste	02/10/2001	19/07/2007	Membre	02/10/2001	05/10/2004
01043Q	609	2075	Létard	Valérie	UC	Groupe Union Centriste	02/10/2001	19/07/2007	Vice-Président	06/10/2004	19/07/2007
01043Q	2115	2388	Létard	Valérie	UC	Groupe Union Centriste	14/12/2010		Membre	14/12/2010	
04076N	1785	2049	Le Texier	Raymonde	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2004	04/10/2004	Membre	01/10/2004	04/10/2004
