Matricule	Id appartenance	Id fonction occupée	Nom	Prénom	Code du groupe politique	Nom court du groupe politique	Date de début d'appartenance	Date de fin d'appartenance	Nom court fonction	Date de début de la fonction	Date de fin de la fonction
000524	1011	1271	Darras	Michel	SOC	Groupe socialiste et républicain		06/01/1992	Membre		06/01/1992
000709	1489	1749	Dassaud	Francis	SOC	Groupe socialiste et républicain		01/10/1965	Membre		01/10/1965
04055H	1687	1949	Dassault	Serge	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2004	04/10/2004	Membre	01/10/2004	04/10/2004
04055H	1740	2003	Dassault	Serge	UMP	Groupe Les Républicains	05/10/2004	01/10/2017	Membre	05/10/2004	01/10/2017
04008A	2808	3202	Daubresse	Marc-Philippe	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
04008A	2940	3341	Daubresse	Marc-Philippe	UMP	Groupe Les Républicains	03/10/2017		Membre	03/10/2017	
08052W	1977	2250	Daudigny	Yves	SOC	Groupe socialiste et républicain	01/10/2008		Membre	01/10/2008	
01012H	519	518	Dauge	Yves	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2001	01/10/2001	Membre	01/10/2001	01/10/2001
01012H	581	580	Dauge	Yves	SOC	Groupe socialiste et républicain	02/10/2001	30/09/2011	Membre	02/10/2001	30/09/2011
000438	1012	1272	Daugnac	André	UC	Groupe Union Centriste		01/10/1992	Membre		01/10/1992
80014Y	102	102	Daunay	Marcel	UC	Groupe Union Centriste		30/09/1998	Membre		30/09/1998
08038Y	1957	2232	Daunis	Marc	SOC	Groupe socialiste et républicain	01/10/2008		Membre	01/10/2008	
01059Y	567	566	David	Annie	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2001	01/10/2001	Membre	01/10/2001	01/10/2001
01059Y	582	581	David	Annie	CRC	Groupe CRCE	02/10/2001	01/10/2017	Membre	02/10/2001	01/10/2017
58019X	1013	1273	David	Jean	UCDP	Union Centriste des Démocrates de Progrès		01/10/1980	Membre		01/10/1980
57826T	1014	1274	David	Léon	C	Communistes		01/10/1978	Membre		01/10/1978
000360	1437	1697	Dayan	Georges	SOC	Groupe socialiste et républicain		28/05/1979	Membre		28/05/1979
77017C	251	251	Debarge	Marcel	SOC	Groupe socialiste et républicain		30/09/2004	Membre		30/09/2004
86004X	197	197	Debavelaere	Désiré	RPR	Groupe du RPR		30/09/2001	Membre		30/09/2001
000031	1015	1275	Debesson	René	SOC	Groupe socialiste et républicain		01/04/1979	Membre		01/04/1979
000194	1016	1276	Deblock	Roger	RI	Groupe des RI		16/03/1974	Membre		16/03/1974
04081K	1717	1979	Debré	Isabelle	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2004	04/10/2004	Membre	01/10/2004	04/10/2004
04081K	1742	2005	Debré	Isabelle	UMP	Groupe Les Républicains	05/10/2004	01/10/2017	Membre	05/10/2004	01/10/2017
17589D	2803	3197	Decool	Jean-Pierre	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
17589D	2870	3265	Decool	Jean-Pierre	RTLI	Groupe Les Indépendants - République et Territoires	03/10/2017		Membre	03/10/2017	
000250	1017	1277	Defferre	Gaston	SOC	Groupe socialiste et républicain		13/12/1962	Membre		13/12/1962
000245	1018	1278	Deguise	Jean	RP	Républicains Populaires		01/10/1968	Membre		01/10/1968
000744	1490	1750	Dehe	Alfred	RI	Groupe des RI		11/01/1969	Membre		11/01/1969
83025Q	125	125	Dejoie	Luc	RPR	Groupe du RPR		30/09/2001	Membre		30/09/2001
98018T	334	334	del Picchia	Robert	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/1998	04/10/1998	Membre	01/10/1998	04/10/1998
98018T	387	394	del Picchia	Robert	RPR	Groupe du RPR	05/10/1998	10/12/2002	Membre	05/10/1998	10/12/2002
98018T	734	730	del Picchia	Robert	UMP	Groupe Les Républicains	11/12/2002	14/01/2003	Membre	11/12/2002	14/01/2003
98018T	839	837	del Picchia	Robert	UMP	Groupe Les Républicains	15/01/2003	08/07/2014	Membre	15/01/2003	08/07/2014
98018T	2431	2749	del Picchia	Robert	UMP	Groupe Les Républicains	09/07/2014		Membre	09/07/2014	
000066	1019	1279	Delagnes	Roger	SOC	Groupe socialiste et républicain		01/01/1974	Membre		01/01/1974
11070L	2146	2420	Delahaye	Vincent	UC	Groupe Union Centriste	01/10/2011		Membre	01/10/2011	
000199	1020	1280	Delalande	Jacques	RI	Groupe des RI		01/10/1965	Membre		01/10/1965
83026R	107	107	Delaneau	Jean	RI	Groupe des RI		30/09/2001	Membre		30/09/2001
95022B	189	189	Delanoë	Bertrand	SOC	Groupe socialiste et républicain		27/03/2001	Membre		27/03/2001
11088W	2235	2509	Delattre	Francis	UMP	Groupe Les Républicains	01/10/2011	01/10/2017	Membre	01/10/2011	01/10/2017
19719D	2849	3243	Delattre	Nathalie	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2017	02/10/2017	Membre	01/10/2017	02/10/2017
19719D	2887	3283	Delattre	Nathalie	RDSE	Groupe du RDSE	03/10/2017		Membre	03/10/2017	
14327T	2652	3013	Delcros	Bernard	NI	Réunion administrative des non-inscrits	07/09/2015	09/09/2015	Membre	07/09/2015	09/09/2015
14327T	2653	3014	Delcros	Bernard	UC	Groupe Union Centriste	10/09/2015		Membre	10/09/2015	
11035H	2155	2429	Delebarre	Michel	SOC	Groupe socialiste et républicain	01/10/2011	01/10/2017	Membre	01/10/2011	01/10/2017
59226H	1021	1281	Delelis	André	SOC	Groupe socialiste et républicain		01/10/1992	Membre		01/10/1992
92017R	196	196	Delevoye	Jean-Paul	RPR	Groupe du RPR		07/06/2002	Membre		07/06/2002
80015A	409	418	Delfau	Gérard	NI	Réunion administrative des non-inscrits	05/10/1998	12/05/1999	Membre	05/10/1998	12/05/1999
80015A	417	434	Delfau	Gérard	RDSE	Groupe du RDSE	12/05/1999	30/09/2008	Membre	12/05/1999	30/09/2008
80015A	98	98	Delfau	Gérard	SOC	Groupe socialiste et républicain		04/10/1998	Membre		04/10/1998
59572Y	1022	1282	Delga	François	NI	Réunion administrative des non-inscrits		01/10/1995	Membre		01/10/1995
000621	1438	1698	Delmas	Lucien	SOC	Groupe socialiste et républicain		05/02/1988	Membre		05/02/1988
19663E	2798	3192	Delmont-Koropoulis	Annie	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19663E	2941	3342	Delmont-Koropoulis	Annie	UMP	Groupe Les Républicains	03/10/2017		Membre	03/10/2017	
81007E	147	147	Delong	Jacques-Richard	RPR	Groupe du RPR		30/09/2001	Membre		30/09/2001
000188	1023	1283	Delorme	Claudius	RIAS	Républicains Indépendants d'Action Sociale (Devenu C.N.I.P.)		02/10/1977	Membre		02/10/1977
000685	1491	1751	Delpuech	Vincent	GD	Gauche Démocratique		09/03/1966	Membre		09/03/1966
90004C	283	283	Demerliat	Jean-Pierre	SOC	Groupe socialiste et républicain	02/10/1990	30/09/2014	Membre	02/10/1990	30/09/2014
92018S	633	629	Demessine	Michelle	CRC	Groupe CRCE	02/10/1992	01/10/2017	Membre	02/10/1992	01/10/2017
95023C	256	256	Demilly	Fernand	RDSE	Groupe du RDSE		30/09/2004	Membre		30/09/2004
04046G	2363	2683	Demontès	Christiane	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2004	04/10/2004	Membre	01/10/2004	04/10/2004
04046G	1676	1939	Demontès	Christiane	SOC	Groupe socialiste et républicain	05/10/2004	30/09/2014	Membre	05/10/2004	30/09/2014
95024D	705	701	Demuynck	Christian	UMP	Groupe Les Républicains	11/12/2002	30/09/2011	Membre	11/12/2002	30/09/2011
95024D	249	249	Demuynck	Christian	RPR	Groupe du RPR		10/12/2002	Membre		10/12/2002
95025E	257	257	Deneux	Marcel	UC	Groupe Union Centriste	02/10/1995	30/09/2014	Membre	02/10/1995	30/09/2014
19659J	2748	3142	Dennemont	Michel	AUCUN	Sénateurs n'appartenant à aucun groupe	02/10/2017	02/10/2017	Membre	02/10/2017	02/10/2017
19659J	2882	3278	Dennemont	Michel	LREM	Groupe La République En Marche	03/10/2017		Membre	03/10/2017	
97010F	53	53	Derian	Jean	CRC	Groupe CRCE		30/09/1998	Membre		30/09/1998
98024R	341	342	Dériot	Gérard	UC	Groupe Union Centriste	01/10/1998	10/12/2002	Membre	01/10/1998	10/12/2002
98024R	821	817	Dériot	Gérard	UMP	Groupe Les Républicains	11/12/2002		Membre	11/12/2002	
10006L	2110	2384	Deroche	Catherine	NI	Réunion administrative des non-inscrits	12/10/2010	12/10/2010	Membre	12/10/2010	12/10/2010
10006L	2109	2383	Deroche	Catherine	UMP	Groupe Les Républicains	13/10/2010		Membre	13/10/2010	06/10/2014
10006L	2109	2904	Deroche	Catherine	UMP	Groupe Les Républicains	13/10/2010		Vice-Président délégué	07/10/2014	02/10/2017
10006L	2109	3322	Deroche	Catherine	UMP	Groupe Les Républicains	13/10/2010		Membre	03/10/2017	
14041T	2504	2822	Deromedi	Jacky	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2014	06/10/2014	Membre	01/10/2014	06/10/2014
14041T	2536	2868	Deromedi	Jacky	UMP	Groupe Les Républicains	07/10/2014		Membre	07/10/2014	
000180	1024	1284	Dervaux	Renée	C	Communistes		01/10/1968	Membre		01/10/1968
97007L	169	169	Derycke	Dinah	SOC	Groupe socialiste et républicain		19/01/2002	Membre		19/01/2002
000728	1492	1752	Desache	Marc	UNR	Union pour la Nouvelle République		01/10/1965	Membre		01/10/1965
58670V	1025	1285	Desbriere	Bernard	SOC	Groupe socialiste et républicain		01/10/1986	Membre		01/10/1986
07028S	1865	2144	Descamps	Béatrice	UMP	Groupe Les Républicains	20/07/2007	13/12/2010	Membre	20/07/2007	13/12/2010
07028S	2679	3054	Descamps	Béatrice	NI	Réunion administrative des non-inscrits	05/06/2017	14/06/2017	Membre	05/06/2017	14/06/2017
83028T	112	112	Descours	Charles	RPR	Groupe du RPR		30/09/2001	Membre		30/09/2001
000331	1026	1286	Descours Desacres	Jacques	UREI	Union des Républicains et des Indépendants		01/10/1989	Membre		01/10/1989
08022Q	1906	2190	Des Esgaulx	Marie-Hélène	UMP	Groupe Les Républicains	01/10/2008	30/09/2017	Membre	01/10/2008	30/10/2011
08022Q	1906	2648	Des Esgaulx	Marie-Hélène	UMP	Groupe Les Républicains	01/10/2008	30/09/2017	Vice-Président	01/11/2011	06/10/2014
08022Q	1906	2857	Des Esgaulx	Marie-Hélène	UMP	Groupe Les Républicains	01/10/2008	30/09/2017	Membre	07/10/2014	30/09/2017
04067M	1779	2043	Desessard	Jean	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2004	04/10/2004	Membre	01/10/2004	04/10/2004
