Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Date de fin de mandat	Annee de fin de mandat	Region	Identifiant fonction	Date de debut de fonction	Annee de debut de fonction	Date de fin de fonction	Annee de fin de fonction	Fonction
77019E	M.	Fourcade	Jean-Pierre	ANCIEN	11882			1976		1995	Ile-de-France	11693		1986		1995	Premier Vice-Président du conseil régional
77019E	M.	Fourcade	Jean-Pierre	ANCIEN	11882			1976		1995	Ile-de-France	11694		1982		1986	Vice-Président du conseil régional
19521Q	Mme	Fournier	Catherine	ACTIF	51407		13/12/2015				Hauts-de-France	50598	13/12/2015				Conseiller régional
08065C	M.	Fournier	Jean-Paul	ANCIEN	11751			1986		2002	Languedoc-Roussillon	11613		1986		2002	Conseiller régional
83033Q	M.	François-Poncet	Jean	ANCIEN	11881					1992	Aquitaine	11689				1985	Premier Vice-Président du conseil régional
83033Q	M.	François-Poncet	Jean	ANCIEN	11881					1992	Aquitaine	11690				1992	Conseiller régional
02001J	M.	Frimat	Bernard	ANCIEN	6666			1977	28/03/2004	2004	Nord-Pas-de-Calais	3108		1977		1998	Conseiller régional
02001J	M.	Frimat	Bernard	ANCIEN	6666			1977	28/03/2004	2004	Nord-Pas-de-Calais	3109		1998	28/03/2004	2004	Vice-Président du conseil régional
94003T	M.	Gaillard	Yann	ANCIEN	10736			1983		1992	Champagne-Ardenne	10828		1983		1992	Conseiller régional
98041S	M.	Garrec	René	ANCIEN	5166			1986	02/04/2004	2004	Basse-Normandie	2081			02/04/2004	2004	Président du conseil régional
98041S	M.	Garrec	René	ANCIEN	10638		02/04/2004	2004	07/04/2004	2004	Basse-Normandie	10665	02/04/2004	2004	07/04/2004	2004	Conseiller régional
89029V	M.	Gaudin	Jean-Claude	ANCIEN	5266			1979		1998	Provence-Alpes-Côte d'Azur	2154		1986		1998	Président du conseil régional
89029V	M.	Gaudin	Jean-Claude	ANCIEN	5266			1979		1998	Provence-Alpes-Côte d'Azur	10793		1979		1982	Vice-Président du conseil régional
01055U	Mme	Gautier	Gisèle	ANCIEN	6623			1992	22/11/2001	2001	Pays de la Loire	3084		1992	22/11/2001	2001	Vice-Président du conseil régional
14199E	M.	Genest	Jacques	ACTIF	14081			2004		2008	Rhône-Alpes	13522		2004		2008	Conseiller régional
11108H	M.	Germain	Jean	ANCIEN	12803		01/03/1998		30/09/2011		Centre	12960	01/03/1998		30/09/2011		Premier Vice-Président du conseil régional
08035V	Mme	Ghali	Samia	ACTIF	11620		28/03/2004	2004	21/03/2010	2010	Provence-Alpes-Côte d'Azur	11499	28/03/2004	2004	21/03/2010	2010	Vice-Président du conseil régional
04095R	M.	Gillot	Jacques	ANCIEN	11032			1998		2001	Guadeloupe	11023		1998		2001	Conseiller régional
14014Q	Mme	Giraud	Éliane	ANCIEN	15261		14/12/2015				Auvergne-Rhône-Alpes	13858	14/12/2015				Conseiller régional
78003A	M.	Girod	Paul	ANCIEN	11152			1985		1988	Picardie	11113		1985		1988	Vice-Président du conseil régional
