Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Date de fin de mandat	Annee de fin de mandat	Region	Identifiant fonction	Date de debut de fonction	Annee de debut de fonction	Date de fin de fonction	Annee de fin de fonction	Fonction
01039U	M.	Thiollière	Michel	ANCIEN	6538		15/03/1998	1998	15/10/2001	2001	Rhône-Alpes	2998	15/03/1998	1998	15/10/2001	2001	Vice-Président du conseil régional
01062T	M.	Todeschini	Jean-Marc	ACTIF	6589			1998	08/12/2001	2001	Lorraine	3055		1998	08/12/2001	2001	Conseiller régional
04044E	Mme	Troendlé	Catherine	ACTIF	10819		28/03/2004	2004		2005	Alsace	10885	28/03/2004	2004		2005	Conseiller régional
86049M	M.	Trucy	François	ANCIEN	11372			1978		1982	Provence-Alpes-Côte d'Azur	11339		1978		1982	Conseiller régional
92044U	M.	Türk	Alex	ANCIEN	1494			1983		2001	Nord-Pas-de-Calais	1494		1983		2001	Conseiller régional
12038D	M.	Vairetto	André	ANCIEN	12924			1998		2008	Rhône-Alpes	13109		1998		2008	Conseiller régional
80046H	M.	Valade	Jacques	ANCIEN	1487			1973	28/03/2004	2004	Aquitaine	1487	22/03/1992	1992	15/03/1998	1998	Président du conseil régional
80046H	M.	Valade	Jacques	ANCIEN	1487			1973	28/03/2004	2004	Aquitaine	11358	15/03/1998	1998	28/03/2004	2004	Conseiller régional
80046H	M.	Valade	Jacques	ANCIEN	1487			1973	28/03/2004	2004	Aquitaine	11363	21/03/2008	1985	22/03/1992	1992	Vice-Président du conseil régional
80046H	M.	Valade	Jacques	ANCIEN	1487			1973	28/03/2004	2004	Aquitaine	11364		1973	15/04/1985	1985	Conseiller régional
08049C	M.	Vall	Raymond	ACTIF	11680			1998	17/10/2008	2008	Midi-Pyrénées	11548		1998	17/10/2008	2008	Conseiller régional
11041F	M.	Vallini	André	ACTIF	12833		15/03/1986		15/06/1997		Rhône-Alpes	13006	15/03/1986		15/06/1997		Conseiller régional
11037K	M.	Vandierendonck	René	ANCIEN	12503		22/03/1992		01/11/2011		Nord-Pas-de-Calais	12715	22/03/1992			1998	Conseiller régional
11037K	M.	Vandierendonck	René	ANCIEN	12503		22/03/1992		01/11/2011		Nord-Pas-de-Calais	12728	22/03/1998		13/03/2010		Vice-Président du conseil régional
11037K	M.	Vandierendonck	René	ANCIEN	12503		22/03/1992		01/11/2011		Nord-Pas-de-Calais	12982	14/03/2010		01/11/2011		Conseiller régional
01034P	M.	Vanlerenberghe	Jean-Marie	ACTIF	6446			1986	30/11/2001	2001	Nord-Pas-de-Calais	2956		1986	30/11/2001	2001	Conseiller régional
92045V	M.	Vasselle	Alain	ANCIEN	11931			1986		1992	Picardie	11743		1986		1992	Vice-Président du conseil régional
11066Q	M.	Vaugrenard	Yannick	ACTIF	12376			1986		2011	Pays de la Loire	12442		1986	28/03/2004	2004	Conseiller régional
11066Q	M.	Vaugrenard	Yannick	ACTIF	12376			1986		2011	Pays de la Loire	12444	29/03/2004	2004	20/03/2010	2010	Premier Vice-Président du conseil régional
11066Q	M.	Vaugrenard	Yannick	ACTIF	12376			1986		2011	Pays de la Loire	12447	21/03/2010	2010	31/12/2011	2011	Conseiller régional
96003C	M.	Vergès	Paul	ANCIEN	1506			1983	12/11/2016		La Réunion	1506		1983		1991	Conseiller régional
96003C	M.	Vergès	Paul	ANCIEN	1506			1983	12/11/2016		La Réunion	12978		1992		1998	Premier Vice-Président du conseil régional
96003C	M.	Vergès	Paul	ANCIEN	1506			1983	12/11/2016		La Réunion	12979		1998		2010	Président du conseil régional
96003C	M.	Vergès	Paul	ANCIEN	1506			1983	12/11/2016		La Réunion	13050		2010	13/12/2015		Conseiller régional
11025F	M.	Vergoz	Michel	ANCIEN	12460		15/03/1998	1998	21/03/2004	2004	La Réunion	12660	15/03/1998	1998		1998	Conseiller régional
11025F	M.	Vergoz	Michel	ANCIEN	12460		15/03/1998	1998	21/03/2004	2004	La Réunion	12661		1998	21/03/2004	2004	Vice-Président du conseil régional
11025F	M.	Vergoz	Michel	ANCIEN	12460		15/03/1998	1998	21/03/2004	2004	La Réunion	13019	21/03/2004	2004	30/09/2011	2011	Conseiller régional
19749K	Mme	Vérien	Dominique	ACTIF	51554		13/12/2015		19/01/2018		Bourgogne-Franche-Comté	50919	13/12/2015		19/01/2018		Conseiller régional
19749K	Mme	Vérien	Dominique	ACTIF	51555		30/03/2010		12/12/2015		Bourgogne	50920	30/03/2010		12/12/2015		Conseiller régional
19479G	Mme	Vermeillet	Sylvie	ACTIF	51346		28/04/2004		13/12/2015		Franche-Comté	50526	28/04/2004		13/12/2015		Conseiller régional
11057P	M.	Vincent	Maurice	ANCIEN	12513		28/03/2004		14/03/2010		Rhône-Alpes	12737	28/03/2004		14/03/2010		Conseiller régional
89045V	M.	Vinçon	Serge	ANCIEN	10614		28/03/2004	2004	16/12/2007	2007	Centre	10617	28/03/2004	2004	16/12/2007	2007	Conseiller régional
01010F	M.	Virapoullé	Jean-Paul	ANCIEN	6569			1985		1988	La Réunion	3030		1985		1988	Vice-Président du conseil régional
98026T	M.	Vissac	Guy	ANCIEN	5108			1976			Auvergne	2049					Vice-Président du conseil régional
04082L	Mme	Voynet	Dominique	ANCIEN	10974		22/03/1992	1992		1994	Franche-Comté	10981	22/03/1992	1992		1994	Conseiller régional
01047U	M.	Zocchetto	François	ANCIEN	6560			1998		2008	Pays de la Loire	3022		1998	02/04/2004	2004	Vice-Président du conseil régional
01047U	M.	Zocchetto	François	ANCIEN	6560			1998		2008	Pays de la Loire	10633	02/04/2004	2004		2008	Conseiller régional
