Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Date de fin de mandat	Annee de fin de mandat	Article de la commune	Commune	Identifiant fonction	Date de debut de fonction	Annee de debut de fonction	Date de fin de fonction	Annee de fin de fonction	Fonction
04081K	Mme	Debré	Isabelle	ANCIEN	10971			1995		2015	de	Vanves	10978		1995		2000	Conseiller municipal
04081K	Mme	Debré	Isabelle	ANCIEN	10971			1995		2015	de	Vanves	10979		2001		2015	Adjoint au maire
17589D	M.	Decool	Jean-Pierre	ACTIF	50976		30/11/1990		30/03/2014		de	Brouckerque	50285	30/11/1990		30/03/2014		Maire
11070L	M.	Delahaye	Vincent	ACTIF	12527	18/06/1995	18/06/1995				de	Massy	12754	18/06/1995		22/10/2017		Maire
11070L	M.	Delahaye	Vincent	ACTIF	12527	18/06/1995	18/06/1995				de	Massy	50723	23/10/2017				Conseiller municipal
83026R	M.	Delaneau	Jean	ANCIEN	660				11/03/2001	2001	de 	Château-Renault	660			11/03/2001	2001	Maire
83026R	M.	Delaneau	Jean	ANCIEN	6188		11/03/2001	2001	10/10/2018		d'	Autrèche	2485	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
83026R	M.	Delaneau	Jean	ANCIEN	6188		11/03/2001	2001	10/10/2018		d'	Autrèche	2697	17/03/2001	2001	10/10/2018		Maire
95022B	M.	Delanoë	Bertrand	ANCIEN	709				11/03/2001	2001	de	Paris	709			11/03/2001	2001	Conseiller de Paris
95022B	M.	Delanoë	Bertrand	ANCIEN	6199		18/03/2001	2001			de	Paris	2538	18/03/2001	2001	25/03/2001	2001	Conseiller de Paris
95022B	M.	Delanoë	Bertrand	ANCIEN	6199		18/03/2001	2001			de	Paris	2783	25/03/2001	2001			Maire
11088W	M.	Delattre	Francis	ANCIEN	12171		14/03/1983				de	Franconville-la-Garenne	12297	14/03/1983				Maire
19719D	Mme	Delattre	Nathalie	ACTIF	51454	16/03/2008	16/03/2008				de	Bordeaux 	50664	16/03/2008		31/10/2017		Adjoint au maire
19719D	Mme	Delattre	Nathalie	ACTIF	51454	16/03/2008	16/03/2008				de	Bordeaux 	50910	01/11/2017				Conseiller municipal
14327T	M.	Delcros	Bernard	ACTIF	51561		01/12/2016				de	Neussargues en Pinatelle	50940	01/12/2016				Conseiller municipal
11035H	M.	Delebarre	Michel	ANCIEN	12407		19/03/1989				de	Dunkerque	12553	19/03/1989		31/03/2014		Maire
11035H	M.	Delebarre	Michel	ANCIEN	12407		19/03/1989				de	Dunkerque	13168	01/04/2014				Conseiller municipal
59226H	M.	Delelis	André	ANCIEN	10095				04/09/2012	2012		Lens	3265			04/09/2012	2012	Maire
92017R	M.	Delevoye	Jean-Paul	ANCIEN	714				11/03/2001	2001	de 	Bapaume	714			11/03/2001	2001	Maire
92017R	M.	Delevoye	Jean-Paul	ANCIEN	6149		11/03/2001	2001			de	Bapaume	2450	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
