Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Date de fin de mandat	Annee de fin de mandat	Article de la commune	Commune	Identifiant fonction	Date de debut de fonction	Annee de debut de fonction	Date de fin de fonction	Annee de fin de fonction	Fonction
77029G	M.	Hoeffel	Daniel	ANCIEN	6068		11/03/2001	2001			de	Handschuheim	2365	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
77029G	M.	Hoeffel	Daniel	ANCIEN	6068		11/03/2001	2001			de	Handschuheim	2639	17/03/2001	2001			Maire
04048J	M.	Houel	Michel	ANCIEN	10839			2001	30/11/2016		de	Crécy-la-Chapelle	10891		2001	31/03/2015		Maire
04048J	M.	Houel	Michel	ANCIEN	10839			2001	30/11/2016		de	Crécy-la-Chapelle	13841	06/10/2015		30/11/2016		Conseiller municipal
04048J	M.	Houel	Michel	ANCIEN	10841		20/03/1977	1977	30/11/2016	2001	de	Condé-Sainte-Libiaire	10894	20/03/1977	1977		2001	Maire
19333N	M.	Houllegatte	Jean-Michel	ACTIF	50950		01/01/2016				de	Cherbourg-en-Cotentin	50258	01/01/2016		05/10/2017		Adjoint au maire
19333N	M.	Houllegatte	Jean-Michel	ACTIF	50950		01/01/2016				de	Cherbourg-en-Cotentin	51040	06/10/2017				Conseiller municipal
19333N	M.	Houllegatte	Jean-Michel	ACTIF	51417		23/06/2012		31/12/2015		de	Cherbourg-Octeville	50611	23/06/2012		31/12/2015		Maire
08069G	M.	Houpert	Alain	ACTIF	11778			2004	30/03/2014		de	Salives	11632		2004	30/03/2014		Maire
04078Q	M.	Hue	Robert	ANCIEN	10952			1977			de	Montigny-lès-Cormeilles	10965		1977	01/01/2008	2008	Maire
04078Q	M.	Hue	Robert	ANCIEN	10952			1977			de	Montigny-lès-Cormeilles	13081	02/01/2008				Conseiller municipal
80021X	M.	Hugo	Bernard Charles	ANCIEN	590				15/10/2001	2001	d'	Aubenas	590			15/10/2001	2001	Conseiller municipal
58644T	M.	Hugo	Bernard Michel	ANCIEN	10135							Trappes	3305					Maire
19399H	M.	Hugonet	Jean-Raymond	ACTIF	50962		18/03/2001				de	Limours	50271	18/03/2001		16/11/2017		Maire
19399H	M.	Hugonet	Jean-Raymond	ACTIF	50962		18/03/2001				de	Limours	50945	17/11/2017				Conseiller municipal
92026S	M.	Hugot	Jean-Paul	ANCIEN	677				11/03/2001	2001	de 	Saumur	677			11/03/2001	2001	Maire
92026S	M.	Hugot	Jean-Paul	ANCIEN	6294		18/03/2001	2001	14/07/2013	2013	de	Saumur	2859	18/03/2001	2001	14/07/2013	2013	Conseiller municipal
92027T	M.	Huguet	Roland	ANCIEN	716				11/03/2001	2001	d'	Isbergues	716			11/03/2001	2001	Conseiller municipal
04041B	Mme	Hummel	Christiane	ANCIEN	10809			1983			de	La Valette du Var	10877		1983		1995	Conseiller municipal
04041B	Mme	Hummel	Christiane	ANCIEN	10809			1983			de	La Valette du Var	10880		1995		2001	Adjoint au maire
04041B	Mme	Hummel	Christiane	ANCIEN	10809			1983			de	La Valette du Var	10881		2001			Maire
04097T	M.	Huré	Benoît	ACTIF	11093			1995		2004	de	Neuville-Lez-Beaulieu	11081		1995		2004	Maire
04097T	M.	Huré	Benoît	ACTIF	11340		21/03/2008		30/03/2014		de	Neuville-Lez-Beaulieu	11308	21/03/2008		30/03/2014		Conseiller municipal
04068N	Mme	Hurel	Sandrine	ANCIEN	11077			2001		2004	de	Dieppe	11062		2001		2004	Conseiller municipal
83036T	M.	Huriet	Claude	ANCIEN	682				11/03/2001	2001	de 	Vroncourt	682			11/03/2001	2001	Maire
83036T	M.	Huriet	Claude	ANCIEN	6018		11/03/2001	2001			de	Vroncourt	2319	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
83036T	M.	Huriet	Claude	ANCIEN	6018		11/03/2001	2001			de	Vroncourt	2640	17/03/2001	2001			Maire
11048N	M.	Husson	Jean-François	ACTIF	12811		18/03/2001				de	Nancy	12970	18/03/2001				Conseiller municipal
95039L	M.	Hyest	Jean-Jacques	ANCIEN	753				11/03/2001	2001	de 	La Madeleine-sur-Loing	753			11/03/2001	2001	Maire
95039L	M.	Hyest	Jean-Jacques	ANCIEN	6069		11/03/2001	2001			de	La Madeleine-sur-Loing	2366	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
95039L	M.	Hyest	Jean-Jacques	ANCIEN	6069		11/03/2001	2001			de	La Madeleine-sur-Loing	2641	17/03/2001	2001	01/02/2004		Maire
95039L	M.	Hyest	Jean-Jacques	ANCIEN	6069		11/03/2001	2001			de	La Madeleine-sur-Loing	10592	02/02/2004		23/04/2004	2004	Conseiller municipal
95039L	M.	Hyest	Jean-Jacques	ANCIEN	6069		11/03/2001	2001			de	La Madeleine-sur-Loing	10771	23/04/2004	2004			Maire
04062G	M.	Ibrahim Ramadani	Soibahadine	ANCIEN	11083			2001	16/03/2008	2008	de	Chiconi	11071		2001	16/03/2008	2008	Conseiller municipal
14213J	Mme	Imbert	Corinne	ACTIF	14133			1995			de	Beauvais-sur-Matha	13531	01/07/2006	2006	30/09/2017		Maire
14213J	Mme	Imbert	Corinne	ACTIF	14133			1995			de	Beauvais-sur-Matha	50814	01/10/2017				Conseiller municipal
14213J	Mme	Imbert	Corinne	ACTIF	14133			1995			de	Beauvais-sur-Matha	50815		1995	30/06/2006		Conseiller municipal
14044W	Mme	Iriti	Teura	ANCIEN	14379			2008		2008	d'	Arue	13680		2008		2008	Conseiller municipal
19551W	M.	Jacquin	Olivier	ACTIF	50889	16/03/2008	16/03/2008		09/10/2017		de	Limey-Remenauville	50190	16/03/2008		09/10/2017		Premier adjoint au maire
000630	M.	Janetti	Maurice	ANCIEN	10136				22/07/1999	1999		Saint-Julien-le-Montagne	3306			22/07/1999	1999	Maire
19511N	M.	Janssens	Jean-Marie	ACTIF	50861		16/03/2008		31/12/2015		de	Montrichard	50160	31/03/2014		31/12/2015		Maire
19511N	M.	Janssens	Jean-Marie	ACTIF	50861		16/03/2008		31/12/2015		de	Montrichard	50617	16/03/2008		29/03/2014		Conseiller municipal
19511N	M.	Janssens	Jean-Marie	ACTIF	50862		01/01/2016		25/10/2017		de	Montrichard Val de Cher	50161	01/01/2016		25/10/2017		Maire
58348N	M.	Jargot	Paul	ANCIEN	10137				04/07/2003	2003		Crolles	3307			04/07/2003	2003	Maire
98027U	M.	Jarlier	Pierre	ANCIEN	5123			1993	11/03/2001	2001	de 	Saint-Flour	2055			11/03/2001	2001	Maire
98027U	M.	Jarlier	Pierre	ANCIEN	6116		11/03/2001	2001			de	Saint-Flour	2419	11/03/2001	2001	18/03/2001	2001	Conseiller municipal
98027U	M.	Jarlier	Pierre	ANCIEN	6116		11/03/2001	2001			de	Saint-Flour	2642	18/03/2001	2001			Maire
06001B	Mme	Jarraud-Vergnolle	Annie	ANCIEN	11189		18/03/2001	2001			d'	Anglet	11132	18/03/2001	2001		2008	Conseiller municipal
06001B	Mme	Jarraud-Vergnolle	Annie	ANCIEN	11189		18/03/2001	2001			d'	Anglet	11382		2008			Adjoint au maire
59539X	M.	Jarrot	André	ANCIEN	10138				21/04/2000	2000		Montceau-les-Mines	3308			21/04/2000	2000	Conseiller municipal
19715Y	Mme	Jasmin	Victoire	ACTIF	51374	30/03/2014	16/03/2008		01/11/2017		de	Morne-à-l'Eau	50554	30/03/2014		01/11/2017		Adjoint au maire
19715Y	Mme	Jasmin	Victoire	ACTIF	51374	30/03/2014	16/03/2008		01/11/2017		de	Morne-à-l'Eau	50658	16/03/2008		29/03/2014		Premier adjoint au maire
19715Y	Mme	Jasmin	Victoire	ACTIF	51613		02/11/2017				de	Morne-à-l'Eau	51080	02/11/2017				Conseiller municipal
14233N	Mme	Jean	Geneviève	ANCIEN	14208			2011			de	Cabrières-d'Aigues 	13556		2011			Maire
08067E	M.	Jeannerot	Claude	ANCIEN	11768			1989		1998	de	Besançon	11626		1989		1998	Adjoint au maire
14121F	M.	Jeansannetas	Éric	ACTIF	14368		17/04/1995		16/03/2008		de	La Chapelle-Taillefert	13668	17/04/1995		16/03/2008		Conseiller municipal
04037F	M.	Jégou	Jean-Jacques	ANCIEN	10793			1983			du	Plessis-Trévise	10864		1983			Maire
08044W	Mme	Joissains	Sophie	ACTIF	11669		16/03/2008				d'	Aix-en-Provence	11540	16/03/2008	2008	08/06/2009	2009	Adjoint au maire
08044W	Mme	Joissains	Sophie	ACTIF	11669		16/03/2008				d'	Aix-en-Provence	13074	26/07/2009		01/10/2017		Adjoint au maire
08044W	Mme	Joissains	Sophie	ACTIF	11669		16/03/2008				d'	Aix-en-Provence	13077	09/06/2009	2009	25/07/2009	2009	Conseiller municipal
08044W	Mme	Joissains	Sophie	ACTIF	11669		16/03/2008				d'	Aix-en-Provence	50878	02/10/2017				Conseiller municipal
83038V	M.	Jolibois	Charles	ANCIEN	676				11/03/2001	2001	d'	Etriché	676			11/03/2001	2001	Maire
83038V	M.	Jolibois	Charles	ANCIEN	6154		11/03/2001	2001	23/01/2013	2013	d'	Etriché	2455	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
83038V	M.	Jolibois	Charles	ANCIEN	6154		11/03/2001	2001	23/01/2013	2013	d'	Etriché	2699	17/03/2001	2001	23/01/2013	2013	Maire
19683J	M.	Jomier	Bernard	ACTIF	51281	30/03/2014	30/03/2014		06/10/2017		de	Paris	50470	30/03/2014		04/04/2014		Conseiller de Paris
19683J	M.	Jomier	Bernard	ACTIF	51281	30/03/2014	30/03/2014		06/10/2017		de	Paris	50472	05/04/2014		06/10/2017		Adjoint au maire
19683J	M.	Jomier	Bernard	ACTIF	51283	02/04/2001	02/04/2001		29/03/2014		du	19ème arrondissement	50474	02/04/2001		29/03/2014		Adjoint au maire
19683J	M.	Jomier	Bernard	ACTIF	51590	07/10/2017	07/10/2017				du	19ème arrondissement	51054	07/10/2017				Conseiller d'arrondissement
06006G	M.	Josselin	Charles	ANCIEN	11212			1977	21/03/2008	2008	de	Pleslin-Trigavou	11150		1977		1997	Maire
06006G	M.	Josselin	Charles	ANCIEN	11212			1977	21/03/2008	2008	de	Pleslin-Trigavou	11152		1997	21/03/2008	2008	Adjoint au maire
14097Y	Mme	Jourda	Gisèle	ACTIF	14082			2001			de	Trèbes	13523		2001			Premier adjoint au maire
19447X	Mme	Jourda	Muriel	ACTIF	50921		18/03/2001		31/10/2017		de	Port-Louis	50228	30/03/2014		31/10/2017		Conseiller municipal
19447X	Mme	Jourda	Muriel	ACTIF	50921		18/03/2001		31/10/2017		de	Port-Louis	50229	16/03/2008		29/03/2014		Maire
19447X	Mme	Jourda	Muriel	ACTIF	50921		18/03/2001		31/10/2017		de	Port-Louis	50640	18/03/2001		15/03/2008		Conseiller municipal
89004L	M.	Jourdain	André	ANCIEN	664				11/03/2001	2001	de 	Sapois	664			11/03/2001	2001	Maire
89004L	M.	Jourdain	André	ANCIEN	6019		11/03/2001	2001	16/09/2019		de	Sapois	2320	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
89004L	M.	Jourdain	André	ANCIEN	6019		11/03/2001	2001	16/09/2019		de	Sapois	2608	17/03/2001	2001	16/09/2019		Maire
98034T	M.	Journet	Alain	ANCIEN	5139			1977	11/06/1999		de 	Le Vigan	2065		1977	11/06/1999		Maire
14241N	Mme	Jouve	Mireille	ACTIF	14227			1995			de	Meyrargues	13560		1995	11/10/2017		Maire
14241N	Mme	Jouve	Mireille	ACTIF	14227			1995			de	Meyrargues	50755	12/10/2017				Conseiller municipal
95041E	M.	Joyandet	Alain	ACTIF	735				11/03/2001	2001	de 	Vesoul	735			11/03/2001	2001	Maire
95041E	M.	Joyandet	Alain	ACTIF	6071		11/03/2001		24/03/2014		de	Vesoul	2368	11/03/2001	2001	18/01/2001	2001	Conseiller municipal
95041E	M.	Joyandet	Alain	ACTIF	6071		11/03/2001		24/03/2014		de	Vesoul	2583	18/03/2001	2001	14/01/2012		Maire
01030K	M.	Juilhard	Jean-Marc	ANCIEN	6434			1971	21/03/2008	2008	de	Saint-Sandoux	2949		1971		1997	Maire
01030K	M.	Juilhard	Jean-Marc	ANCIEN	6434			1971	21/03/2008	2008	de	Saint-Sandoux	3070		1997	21/03/2008	2008	Adjoint au maire
14039A	M.	Karam	Antoine	ACTIF	13827			1977		2002	de	Cayenne	13257		1977		2002	Conseiller municipal
99004R	M.	Karoutchi	Roger	ACTIF	5843		25/06/1995	1995	11/03/2001	2001	de	Boulogne-Billancourt	2193	25/06/1995	1995	11/03/2001	2001	Conseiller municipal
99004R	M.	Karoutchi	Roger	ACTIF	6794		25/03/1989	1989	18/12/1994	1995	de	Nanterre	3149	25/03/1989	1989	18/12/1994	1995	Conseiller municipal
99004R	M.	Karoutchi	Roger	ACTIF	12089		17/03/2008	2008		2012	de	Villeneuve-la-Garenne	12284	17/03/2008	2008	01/02/2012	2012	Adjoint au maire
19731Y	Mme	Kauffmann	Claudine	ACTIF	51477	30/03/2014	30/03/2014				de	 La Celle	50683	30/03/2014				Conseiller municipal
04061F	Mme	Keller	Fabienne	ANCIEN	10885		25/03/2001	2001			de	Strasbourg	10923	25/03/2001	2001	21/03/2008	2008	Maire
04061F	Mme	Keller	Fabienne	ANCIEN	10885		25/03/2001	2001			de	Strasbourg	11268		2008			Conseiller municipal
14061L	M.	Kennel	Guy-Dominique	ACTIF	13849			1989	16/03/2014		de	Preuschdorf	13278		1989	16/03/2014		Maire
10003H	M.	Kerdraon	Ronan	ANCIEN	12012		30/03/2008	2008			de	Plérin	11771	30/03/2008	2008			Maire
01021J	M.	Kergueris	Joseph	ANCIEN	6405			1971	21/03/2008	2008	de	Landevant	2934		1971	31/03/2004	2004	Maire
01021J	M.	Kergueris	Joseph	ANCIEN	6405			1971	21/03/2008	2008	de	Landevant	11096	01/04/2004	2004	21/03/2008	2008	Conseiller municipal
14073Q	M.	Kern	Claude	ACTIF	13859	18/03/2008	01/06/1995				de	Gries	13289	01/06/1995		09/10/2017		Maire
14073Q	M.	Kern	Claude	ACTIF	13859	18/03/2008	01/06/1995				de	Gries	50833	10/10/2017				Conseiller municipal
19489J	M.	Kerrouche	Éric	ACTIF	51322		09/11/2012				de	Capbreton	50501	09/11/2012		18/10/2017		Adjoint au maire
19489J	M.	Kerrouche	Éric	ACTIF	51322		09/11/2012				de	Capbreton	50757	19/10/2017				Conseiller municipal
04077P	Mme	Khiari	Bariza	ANCIEN	11076			2001	16/03/2008	2008	de	Paris (16ème arrondissement)	11060		2001	16/03/2008	2008	Conseiller d'arrondissement
08032S	Mme	Klès	Virginie	ANCIEN	11605			2001			de	Châteaubourg	11486		2001	30/03/2014		Maire
08032S	Mme	Klès	Virginie	ANCIEN	11605			2001			de	Châteaubourg	13142	07/04/2014				Conseiller municipal
03001N	M.	Krattinger	Yves	ANCIEN	6789			1982		1995	de	La Chaux-la-Lotière	3144		1982		1995	Maire
03001N	M.	Krattinger	Yves	ANCIEN	6790			1995			de	Rioz	3145		1995		2001	Maire
03001N	M.	Krattinger	Yves	ANCIEN	6790			1995			de	Rioz	11303	21/03/2009		30/03/2014		Conseiller municipal
03001N	M.	Krattinger	Yves	ANCIEN	11906			1971		1977	de	Boult	11717		1971		1977	Conseiller municipal
10001F	Mme	Labarre	Marie-Agnès	ANCIEN	11999			2001	28/02/2008	2008	de	Vert-le-Petit	11766		2001	28/02/2008	2008	Maire
01032M	M.	Labarrère	André	ANCIEN	6441			1971	16/05/2006	2006	de	Pau	2953		1971	16/05/2006	2006	Maire
11112D	M.	Labazée	Georges	ANCIEN	12576		21/03/1971			2001	de	Viven	12846	21/03/1971		13/03/1983		Conseiller municipal
11112D	M.	Labazée	Georges	ANCIEN	12576		21/03/1971			2001	de	Viven	12848	13/03/1983		18/03/2001		Adjoint au maire
11099A	M.	Labbé	Joël	ACTIF	12555		25/06/1995		30/03/2014		de	Saint-Nolff	12813	25/06/1995	1995	30/03/2014		Maire
83039W	M.	Labeyrie	Philippe	ANCIEN	665				11/03/2001	2001	de 	Mont-de-Marsan	665			11/03/2001	2001	Maire
83039W	M.	Labeyrie	Philippe	ANCIEN	6020		11/03/2001	2001	21/03/2008		de	Mont-de-Marsan	2321	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
83039W	M.	Labeyrie	Philippe	ANCIEN	6020		11/03/2001	2001	21/03/2008		de	Mont-de-Marsan	2661	17/03/2001	2001	21/03/2008	2008	Maire
83039W	M.	Labeyrie	Philippe	ANCIEN	6020		11/03/2001	2001	21/03/2008		de	Mont-de-Marsan	11267		2008	21/03/2008		Conseiller municipal
08031R	Mme	Laborde	Françoise	ACTIF	11811		01/03/2001				de	Blagnac	11654	01/03/2001	2001		2015	Adjoint au maire
08031R	Mme	Laborde	Françoise	ACTIF	11811		01/03/2001				de	Blagnac	13928		2016			Conseiller municipal
85003S	M.	Laffitte	Pierre	ANCIEN	589				11/03/2001	2001	de 	Saint-Paul de Vence	589			11/03/2001	2001	Conseiller municipal
85003S	M.	Laffitte	Pierre	ANCIEN	6259		18/03/2001	2001			de	Saint-Paul de Vence	2713	18/03/2001	2001			Conseiller municipal
19611R	M.	Lafon	Laurent	ACTIF	51027		18/06/1995				de	Vincennes	50336	03/07/2002		23/10/2017		Maire
19611R	M.	Lafon	Laurent	ACTIF	51027		18/06/1995				de	Vincennes	50457	18/03/2001		02/07/2002		Adjoint au maire
19611R	M.	Lafon	Laurent	ACTIF	51027		18/06/1995				de	Vincennes	50458	18/06/1995		17/03/2001		Conseiller municipal
19611R	M.	Lafon	Laurent	ACTIF	51027		18/06/1995				de	Vincennes	50996	24/10/2017				Conseiller municipal
97004H	M.	Lagauche	Serge	ANCIEN	769			1977	11/03/2001	2001	de 	Créteil	769			11/03/2001	2001	Adjoint au maire
97004H	M.	Lagauche	Serge	ANCIEN	6165		11/03/2001	2001			de	Créteil	2465	11/03/2001	2001			Conseiller municipal
98054X	M.	Lagorsse	Roger	ANCIEN	5274			1989	11/03/2001	2001	d'	Almayrac	2161		1989	11/03/2001	2001	Conseiller municipal
98054X	M.	Lagorsse	Roger	ANCIEN	6166		11/03/2001	2001	27/10/2011	2011	d'	Almayrac	2466	11/03/2001	2001	27/10/2011	2011	Conseiller municipal
19583F	M.	Lagourgue	Jean-Louis	ACTIF	51084			1990	30/12/2017		de	Sainte-Marie	50377		1990	30/12/2017		Maire
14159V	M.	Lalande	Bernard	ACTIF	13998		18/04/1993				de	Montendre	13455	18/04/1993	1993	11/09/2017		Maire
14159V	M.	Lalande	Bernard	ACTIF	13998		18/04/1993				de	Montendre	50750	12/09/2017				Conseiller municipal
92029V	M.	Lambert	Alain	ANCIEN	705				11/03/2001	2001	d'	Alençon	705			11/03/2001	2001	Maire
92029V	M.	Lambert	Alain	ANCIEN	6021		11/03/2001	2001	25/10/2004	2004	d'	Alençon	2322	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
92029V	M.	Lambert	Alain	ANCIEN	6021		11/03/2001	2001	25/10/2004	2004	d'	Alençon	2643	17/03/2001	2001		2002	Maire
92029V	M.	Lambert	Alain	ANCIEN	6021		11/03/2001	2001	25/10/2004	2004	d'	Alençon	11074		2002	25/10/2004	2004	Adjoint au maire
92029V	M.	Lambert	Alain	ANCIEN	11207		10/09/2006	2006			de	Saint-Céneri-le-Gérei	11144	10/09/2006	2006			Conseiller municipal
07029T	M.	Laménie	Marc	ACTIF	11273		20/03/2001				de	Neuville-Day	11188	20/03/2001	2001	20/06/2017		Maire
07029T	M.	Laménie	Marc	ACTIF	11273		20/03/2001				de	Neuville-Day	50824	21/06/2017				Conseiller municipal
07029T	M.	Laménie	Marc	ACTIF	51515	20/03/1983	20/03/1983		18/03/2001		de	Givet	50825	20/03/1983		18/03/2001		Adjoint au maire
04049K	Mme	Lamure	Élisabeth	ACTIF	10840			1989	22/06/2015		de	Gleizé	10892		1989	22/06/2015		Maire
86034E	M.	Larcher	Gérard	ACTIF	789				11/03/2001	2001	de 	Rambouillet	789			11/03/2001	2001	Maire
86034E	M.	Larcher	Gérard	ACTIF	6072		11/03/2001		30/03/2014		de	Rambouillet	2369	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
86034E	M.	Larcher	Gérard	ACTIF	6072		11/03/2001		30/03/2014		de	Rambouillet	2610	17/03/2001	2001	30/03/2014		Maire
04094Q	M.	Larcher	Serge	ANCIEN	11027			1989	16/03/2008	2008	du	Diamant	11018		1989	16/03/2008	2008	Maire
01018P	M.	Lardeux	André	ANCIEN	11909			1979		2004	d'	Angers	11721		1979		2004	Conseiller municipal
95043G	M.	Larifla	Dominique	ANCIEN	793				11/03/2001	2001	de 	Petit-Bourg	793			11/03/2001	2001	Maire
19723Y	Mme	Lassarade	Florence	ACTIF	51463	30/03/2014	30/03/2014				de	Saint-Macaire	50672	30/03/2014		30/09/2017		Adjoint au maire
19723Y	Mme	Lassarade	Florence	ACTIF	51463	30/03/2014	30/03/2014				de	Saint-Macaire	50694	01/10/2017				Conseiller municipal
11111C	M.	Lasserre	Jean-Jacques	ANCIEN	12583		18/06/1995		18/03/2001		de	Bidache	12863	18/06/1995		18/03/2001		Maire
98043U	M.	Lassourd	Patrick	ANCIEN	5171		17/03/1989		11/03/2001	2001	de 	La Guerche-de-Bretagne	2084	17/03/1989		11/03/2001	2001	Maire
98043U	M.	Lassourd	Patrick	ANCIEN	6117		11/03/2001	2001	28/08/2003	2003	de	La Guerche-de-Bretagne	2420	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
98043U	M.	Lassourd	Patrick	ANCIEN	6117		11/03/2001	2001	28/08/2003	2003	de	La Guerche-de-Bretagne	2611	17/03/2001	2001	28/08/2003	2003	Maire
19699S	M.	Laugier	Michel	ACTIF	51280	18/03/2001	18/03/2001		30/09/2017		de	Montigny-le-Bretonneux	50469	18/03/2001		08/10/2004		Premier adjoint au maire
19699S	M.	Laugier	Michel	ACTIF	51280	18/03/2001	18/03/2001		30/09/2017		de	Montigny-le-Bretonneux	50471	08/10/2004		30/09/2017		Maire
000456	M.	Laurent	Bernard	ANCIEN	10140							Marigny-le-Châtel	3310					Conseiller municipal
08015R	M.	Laurent	Daniel	ACTIF	11528			1977	13/01/2019		de	Pons	11443		1977		1982	Conseiller municipal
08015R	M.	Laurent	Daniel	ACTIF	11528			1977	13/01/2019		de	Pons	11446	18/06/1995	1995	16/10/2008		Maire
08015R	M.	Laurent	Daniel	ACTIF	11528			1977	13/01/2019		de	Pons	11664		1983		1994	Adjoint au maire
08015R	M.	Laurent	Daniel	ACTIF	11528			1977	13/01/2019		de	Pons	13145	01/04/2014		02/10/2017		Maire
08015R	M.	Laurent	Daniel	ACTIF	11528			1977	13/01/2019		de	Pons	50705	03/10/2017		13/01/2019		Conseiller municipal
08063A	Mme	Laurent-Perrigot	Françoise	ANCIEN	11743			1989		2010	d'	Aigremont	11602		1989		2010	Maire
14277B	M.	Laurey	Nuihau	ACTIF	15200		01/03/2014		05/05/2015		de 	Punaauia	13801	01/03/2014		05/05/2015		Conseiller municipal
86035F	M.	Laurin	René-Georges	ANCIEN	775				11/03/2001	2001	de 	Saint-Raphaël	775		1992	11/03/2001	2001	Adjoint au maire
86035F	M.	Laurin	René-Georges	ANCIEN	6214		18/03/2001	2001	29/04/2006	2006	de	Saint-Raphaël	2553	18/03/2001	2001	29/04/2006	2006	Conseiller municipal
86035F	M.	Laurin	René-Georges	ANCIEN	10551			1977	29/04/2006	2006	de	Saint-Raphaël	10544		1977	29/04/2006	2006	Maire
19711U	Mme	Lavarde	Christine	ACTIF	51345		16/03/2008				de	Boulogne-Billancourt	50525	30/03/2014		05/05/2018		Adjoint au maire
19711U	Mme	Lavarde	Christine	ACTIF	51345		16/03/2008				de	Boulogne-Billancourt	50529	16/03/2008		29/03/2014		Conseiller municipal
19711U	Mme	Lavarde	Christine	ACTIF	51345		16/03/2008				de	Boulogne-Billancourt	51045	06/05/2018				Conseiller municipal
58948H	M.	Lazuech	Louis	ANCIEN	10141				07/03/2002	2002		Montbazens	3311			07/03/2002	2002	Conseiller municipal
58626R	Mme	Le Bellegou-Beguin	Geneviève	ANCIEN	10142				27/04/2012	2012		Aups	3312			27/04/2012	2012	Maire
81011A	M.	Le Breton	Henri	ANCIEN	687				11/03/2001	2001	de 	Buléon	687			11/03/2001	2001	Maire
81011A	M.	Le Breton	Henri	ANCIEN	6028		11/03/2001	2001			de	Buléon	2329	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
81011A	M.	Le Breton	Henri	ANCIEN	6028		11/03/2001	2001			de	Buléon	2644	17/03/2001	2001			Maire
98038X	M.	Le Cam	Gérard	ANCIEN	5152			1983	11/03/2001	2001	de 	Plénée-Jugon	2073		1983	11/03/2001	2001	Adjoint au maire
98038X	M.	Le Cam	Gérard	ANCIEN	6118		11/03/2001	2001			de	Plénée-Jugon	2421	11/03/2001	2001	24/03/2001	2001	Conseiller municipal
98038X	M.	Le Cam	Gérard	ANCIEN	6118		11/03/2001	2001			de	Plénée-Jugon	2688	24/03/2001	2001	21/03/2008		Adjoint au maire
98038X	M.	Le Cam	Gérard	ANCIEN	6118		11/03/2001	2001			de	Plénée-Jugon	11299	21/03/2008	2008			Maire
58924Y	M.	Le Cozannet	Yves	ANCIEN	10143				19/08/2004	2004		Minihy-Tréguier	3313			19/08/2004	2004	Maire
82002D	M.	Le Grand	Jean-François	ANCIEN	678				11/03/2001	2001	de 	Lessay	678			11/03/2001	2001	Conseiller municipal
82002D	M.	Le Grand	Jean-François	ANCIEN	678				11/03/2001	2001	de 	Lessay	2893		1992		1996	Maire
82002D	M.	Le Grand	Jean-François	ANCIEN	6340		11/03/2001	2001		2001	de 	Lessay	2904	11/03/2001	2001		2001	Conseiller municipal
08037X	M.	Le Menn	Jacky	ANCIEN	11855			1989		1995	de	Saint-Malo	11673		1989		1995	Conseiller municipal
98051U	M.	Le Pensec	Louis	ANCIEN	5205				11/03/2001	2001	de 	Mellac	2101			11/03/2001	2001	Conseiller municipal
98051U	M.	Le Pensec	Louis	ANCIEN	6191		18/03/2001	2001			de	Mellac	2488	18/03/2001	2001			Conseiller municipal
11098Y	M.	Le Scouarnec	Michel	ANCIEN	12553		25/06/1995		30/03/2014		d'	Auray	12808	25/06/1995		30/03/2014		Maire
04076N	Mme	Le Texier	Raymonde	ANCIEN	10937			1988		2004	de	Villiers-le-Bel	10957		1988		1997	Maire
04076N	Mme	Le Texier	Raymonde	ANCIEN	10937			1988		2004	de	Villiers-le-Bel	10963		1997		2004	Adjoint au maire
07025P	M.	Le Vern	Alain	ANCIEN	11253			1983		1989	du	Petit-Quevilly	11176		1983		1989	Adjoint au maire
07025P	M.	Le Vern	Alain	ANCIEN	11256			1983	21/03/2008	2008	de 	Saint-Saëns	11177		1983	21/03/2008	2008	Conseiller municipal
07025P	M.	Le Vern	Alain	ANCIEN	11256			1983	21/03/2008	2008	de 	Saint-Saëns	11180		1989		2001	Maire
07025P	M.	Le Vern	Alain	ANCIEN	11256			1983	21/03/2008	2008	de 	Saint-Saëns	11182		2001		2004	Adjoint au maire
000442	M.	Lecanuet	Jean	ANCIEN	10144							Rouen	3314					Maire
01042P	M.	Lecerf	Jean-René	ANCIEN	6557			1994	01/01/2003	2003	de	Marcq-en-Baroeul	3018		1994	26/10/2001	2001	Maire
01042P	M.	Lecerf	Jean-René	ANCIEN	6557			1994	01/01/2003	2003	de	Marcq-en-Baroeul	3114	26/10/2001	2001	01/01/2003	2003	Conseiller municipal
000248	M.	Lechenault	France	ANCIEN	10145							Bouzeron	3315					Maire
92030N	M.	Leclerc	Dominique	ANCIEN	661			1977	11/03/2001	2001	de 	La Ville-aux-Dames	661			11/03/2001	2001	Maire
