ID Assemblee	Date debut mandat	Date fin mandat	Attribut	ValAvt	ValApr	Commentaire
PA346170	2007-06-20	2012-06-19	ID Assemblee	PA346170	NA	Suppression ligne incorrecte
PA346692	2007-06-20	2012-06-19	Date debut mandat	2007-06-20	2008-09-18	Date incorrecte
PA346839	2007-06-20	2012-06-07	Date debut mandat	2007-06-20	2010-12-16	Date incorrecte
PA347497	2007-06-20	2012-06-19	ID Assemblee	PA347497	NA	Suppression ligne incorrecte
PA590031	2012-06-20	2017-06-20	Date debut mandat	2012-06-20	2014-12-24	Date incorrecte
PA590032	2012-06-20	2017-06-20	Date debut mandat	2012-06-20	2014-09-27	Date incorrecte
PA590034	2012-06-20	2017-06-20	Date debut mandat	2012-06-20	2014-05-02	Date incorrecte
PA642699	2012-06-20	2017-06-20	Date debut mandat	2012-06-20	2016-03-04	Date incorrecte
PA642705	2012-06-20	2017-06-17	Date debut mandat	2012-06-20	2015-07-18	Date incorrecte
PA642736	2012-06-20	2017-06-17	Date debut mandat	2012-06-20	2016-02-28	Date incorrecte
PA642764	2012-06-20	2015-07-17	Date debut mandat	2012-06-20	2014-07-04	Date incorrecte
PA642885	2012-06-20	2017-06-17	Date debut mandat	2012-06-20	2014-05-09	Date incorrecte
PA642910	2012-06-20	2017-06-17	Date debut mandat	2012-06-20	2014-05-09	Date incorrecte
PA642962	2012-06-20	2017-06-20	Date debut mandat	2012-06-20	2015-08-28	Date incorrecte
PA643002	2012-06-20	2017-06-17	Date debut mandat	2012-06-20	2014-09-27	Date incorrecte
PA643020	2012-06-20	2017-06-17	Date debut mandat	2012-06-20	2014-07-04	Date incorrecte
PA643053	2012-06-20	2017-04-21	Date debut mandat	2012-06-20	2017-01-06	Date incorrecte
PA643069	2012-06-20	2017-03-27	Date debut mandat	2012-06-20	2014-05-10	Date incorrecte
PA643157	2012-06-20	2017-06-17	Date debut mandat	2012-06-20	2016-03-12	Date incorrecte
PA643196	2012-06-20	2017-06-17	Date debut mandat	2012-06-20	2016-03-12	Date incorrecte
PA643205	2012-06-20	2017-06-17	Date debut mandat	2012-06-20	2014-05-10	Date incorrecte
PA643211	2012-06-20	2014-05-02	Date debut mandat	2012-06-20	2013-08-03	Date incorrecte
PA717167	2017-06-18	NA	Date debut mandat	2017-06-18	2019-04-28	Date incorrecte
PA721012	2017-06-18	NA	Date debut mandat	2017-06-18	2018-04-24	Date incorrecte
PA721560	2017-06-18	NA	Date debut mandat	2017-06-18	2019-04-28	Date incorrecte
PA721932	2017-06-18	NA	Date debut mandat	2017-06-18	2017-08-22	Date incorrecte
