ID Assemblee	Code sexe	Prenom elu	Nom elu	Date naissance	Date deces	Commune de naissance	Departement de naissance	Pays de naissance	Nom profession	Categorie profession	Famille profession
PA609218	Mme	Estelle	Grelier	1973-06-22		La Roche sur Yon	Vendée	France	Autre profession	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA609222	Mme	Dominique	Chauvel	1958-02-15		Auchel	Pas-de-Calais	France	Autre profession		
PA609245	Mme	Valérie	Lacroute	1965-10-29		Chalon-sur-Saône	Saône-et-Loire	France	Profession libérale	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA609292	M.	Eduardo	Rihan Cypel	1975-11-13		Porto Alegre		Brésil	Cadre	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA609314	M.	Emeric	Bréhier	1971-12-26		Paris	Paris	France	Fonctionnaire de catégorie A	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA609332	M.	Olivier	Faure	1968-08-18		La Tronche	Isère	France	Cadre supérieur (secteur privé)	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA609345	M.	François	de Mazières	1960-05-22		Tarbes	Hautes-Pyrénées	France	Grand corps de l'État	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA609365	M.	Henri	Guaino	1957-03-11		Arles	Bouches-du-Rhône	France	Grands corps de l'État	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA609435	Mme	Françoise	Descamps-Crosnier	1955-10-13		Mantes la Jolie	Yvelines	France			
PA609442	M.	Jean-Marie	Tétart	1949-09-01		Tigny-Noyelle	Pas-de-Calais	France	Grands corps de l'État	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA609465	M.	Jean-Philippe	Mallé	1963-10-31		Bayonne	Pyrénées-Atlantiques	France	Attaché territorial	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA609513	Mme	Pascale	Boistard	1971-01-04		Mont de Marsan	Landes	France	Cadre du secteur privé	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA609520	Mme	Barbara	Pompili	1975-06-13		Bois-Bernard	Pas-de-Calais	France	Assistante parlementaire	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA609535	M.	Jean-Claude	Buisine	1947-06-14		Berck-sur-Mer	Pas-de-Calais	France	Retraité de la fonction publique	Anciens cadres et professions intermédiaires	Retraités
PA609578	Mme	Linda	Gourjade	1962-07-13		Timmins		Canada	Fonctionnaire de catégorie A	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
